E,A,C,N,O,Continent_Name,Country_Name
4,3.9,3.7,3.6,4.1,Africa,"South Africa, Republic of"
3.8,3.6,2.7,4.2,3.9,Africa,"Morocco, Kingdom of"
3.4,4.8,3.9,1.6,4.5,Africa,"Angola, Republic of"
2.5,2.8,4.3,3.8,4,Africa,"South Africa, Republic of"
4.3,4.3,3.8,3.7,5,Africa,"South Africa, Republic of"
4,4.4,4.3,2.8,4.3,Africa,"Mauritius, Republic of"
2.8,3,3,2.9,2.9,Africa,"Morocco, Kingdom of"
2.4,3,2.2,2,3.9,Africa,"Algeria, People's Democratic Republic of"
3.5,4.1,2.5,2.3,4.6,Africa,"Kenya, Republic of"
1.9,3,3.2,2.8,3,Africa,"Mauritius, Republic of"
3,2.9,2.2,3.6,3.9,Africa,"Nigeria, Federal Republic of"
2.2,3.1,2.1,2.2,3.9,Africa,"Algeria, People's Democratic Republic of"
4.2,4.8,4.4,1.6,4.6,Africa,"Morocco, Kingdom of"
4.1,4.2,2.8,3.8,3.4,Africa,"South Africa, Republic of"
1.7,4.6,4.1,3.3,3.2,Africa,"South Africa, Republic of"
3.5,4.5,4.9,3.4,4.4,Africa,"Kenya, Republic of"
3.2,4.1,2.9,3.2,4.4,Africa,"Nigeria, Federal Republic of"
2.8,4.8,3.9,3.3,4.1,Africa,"Nigeria, Federal Republic of"
2.8,3.5,3.3,1.5,4.4,Africa,"Kenya, Republic of"
3.4,4.5,3.3,2.3,4.2,Africa,"South Africa, Republic of"
2.5,4.2,2.4,3.9,3.5,Africa,"South Africa, Republic of"
3.7,4.6,4.3,1.6,4.3,Africa,"South Africa, Republic of"
2.9,4.5,3.6,3,3.9,Africa,"Kenya, Republic of"
3.2,4.1,2.5,2.7,4.2,Africa,"South Africa, Republic of"
4,3.4,2.7,4.6,4.2,Africa,"South Africa, Republic of"
3.5,4.4,4,3.3,4.1,Africa,"Uganda, Republic of"
3.2,4.7,3.9,3.3,3.5,Africa,"South Africa, Republic of"
3,3.8,3.1,3.7,3.1,Africa,"South Africa, Republic of"
4.4,3.5,2.8,2.6,3.3,Africa,"Egypt, Arab Republic of"
3,4,3.3,1.8,4.5,Africa,"Egypt, Arab Republic of"
2.4,3.4,3.6,3.3,4,Africa,"South Africa, Republic of"
3.9,4.5,2.6,3.7,2.8,Africa,"Kenya, Republic of"
4.4,3.8,3.3,2.3,4.4,Africa,"South Africa, Republic of"
2.8,3,3.9,2.4,3.4,Africa,"Nigeria, Federal Republic of"
1.2,3.2,2.9,4.5,3,Africa,"Egypt, Arab Republic of"
3.1,4,3.7,2.3,3,Africa,"Uganda, Republic of"
2.6,4.5,3,4.2,5,Africa,"South Africa, Republic of"
4,4.1,3.1,3.9,3.3,Africa,"Ghana, Republic of"
3.2,4.5,2.7,2.5,3.8,Africa,"South Africa, Republic of"
3.8,4.6,3.7,2.4,4,Africa,"Ghana, Republic of"
3.1,2.9,3.1,2.6,2.8,Africa,"Ghana, Republic of"
3.1,3.6,4.3,2,4.3,Africa,"South Africa, Republic of"
3.6,4.5,3.4,3.5,4.3,Africa,"South Africa, Republic of"
2.6,4.1,3.5,2.7,3.1,Africa,"South Africa, Republic of"
2.1,3.8,4,4,3,Africa,"Ghana, Republic of"
4.3,4.1,3.5,1.6,4.4,Africa,"Nigeria, Federal Republic of"
2.3,4.4,4.5,3.8,3.7,Africa,"Nigeria, Federal Republic of"
3.6,3.8,3.6,3.6,3.7,Africa,"South Africa, Republic of"
3.9,3.4,2.6,2,3.2,Africa,"South Africa, Republic of"
3.7,4.2,4,1.2,4.3,Africa,"Egypt, Arab Republic of"
2.8,4.6,3,2.8,4.1,Africa,"Tanzania, United Republic of"
1.8,3.2,2.6,3.8,3.8,Africa,"Egypt, Arab Republic of"
3.2,3.4,3.8,2.9,3.3,Africa,"Uganda, Republic of"
3.3,3.3,2.8,2.4,3.2,Africa,"South Africa, Republic of"
2.8,4.8,3.7,3.1,3.7,Africa,"South Africa, Republic of"
2.3,4.4,4.2,2.7,3.7,Africa,"South Africa, Republic of"
1.6,2.2,2.3,4,2.3,Africa,"Egypt, Arab Republic of"
2.3,3.9,3.8,3.4,4.8,Africa,"Nigeria, Federal Republic of"
3.4,5,4.4,1.6,4.6,Africa,"South Africa, Republic of"
2.1,4.3,4.4,2.4,3.8,Africa,"South Africa, Republic of"
2.2,4.5,3.6,4.8,4.2,Africa,"South Africa, Republic of"
2.5,3.6,3.1,3.1,2.6,Africa,"Rwanda, Republic of"
3.9,4.8,3.4,2.2,4.1,Africa,"Nigeria, Federal Republic of"
3.2,4,4.6,4.4,4.5,Africa,"Mozambique, Republic of"
2.8,2.6,4.3,1.6,4.1,Africa,"South Africa, Republic of"
2.8,3.9,3.5,3.2,4.2,Africa,"Morocco, Kingdom of"
4.3,3.7,3.4,2.9,4.2,Africa,"Egypt, Arab Republic of"
2.9,4.8,4,3.2,4.8,Africa,"Nigeria, Federal Republic of"
4.1,4.6,4.2,3.5,4.4,Africa,"Nigeria, Federal Republic of"
1.6,3.8,2.8,3.1,2.7,Africa,"South Africa, Republic of"
2.1,4.2,2.8,3.6,3.9,Africa,"South Africa, Republic of"
4.1,4.6,4,2.2,4,Africa,"South Africa, Republic of"
2,2.4,2.6,4.6,3.8,Africa,"South Africa, Republic of"
1.7,4.5,4.1,4.4,4.8,Africa,"South Africa, Republic of"
2,2.5,4.2,2,4.1,Africa,"Ghana, Republic of"
3.3,4.1,3.1,2.6,4.6,Africa,"South Africa, Republic of"
3,4.2,5,1.8,3.8,Africa,"South Africa, Republic of"
2.7,2.7,3.4,4.6,3.6,Africa,"South Africa, Republic of"
3.2,4.8,4.7,3.8,3.3,Africa,"South Africa, Republic of"
4.9,4.8,5,1.2,4.5,Africa,"Nigeria, Federal Republic of"
1.9,3,2,3.5,4.4,Africa,"South Africa, Republic of"
3.8,4.2,3.4,2.6,4.6,Africa,"Sudan, Republic of"
4.8,4.1,2.2,3.9,4.9,Africa,"Kenya, Republic of"
2.2,3.7,3.2,2.7,3.4,Africa,"South Africa, Republic of"
3.3,3.8,3.4,3.1,3.8,Africa,"Egypt, Arab Republic of"
2.1,3.6,3.8,3,3.9,Africa,"South Africa, Republic of"
3.3,4.1,2.6,2,4.7,Africa,"South Africa, Republic of"
3,4,4.3,2.1,4.1,Africa,"Ghana, Republic of"
4.1,4.8,4.2,2.1,4.5,Africa,"Morocco, Kingdom of"
1.5,3.3,4.1,3.6,3.1,Africa,"Kenya, Republic of"
4.1,4.7,2,2.3,4.2,Africa,"South Africa, Republic of"
3.9,4.1,3,3.5,4.3,Africa,"Egypt, Arab Republic of"
3.9,4.4,2.8,3.2,4.5,Africa,"South Africa, Republic of"
3.8,3.9,3.4,4,3.5,Africa,"Egypt, Arab Republic of"
1.7,3.4,3.9,3.1,3.9,Africa,"Egypt, Arab Republic of"
1.4,3.8,3.8,2.2,2.8,Africa,"Ghana, Republic of"
1.6,3.3,2,3.5,3.1,Africa,"South Africa, Republic of"
3.6,4.2,3.1,4.1,4.1,Africa,"South Africa, Republic of"
4.6,4.6,5,1,4.6,Africa,"Nigeria, Federal Republic of"
2.4,4,2.5,2.2,4.3,Africa,"Zimbabwe, Republic of"
3.2,3.6,3.1,3.1,3.8,Asia,"India, Republic of"
3.7,3.9,2.7,3.1,2.8,Asia,Taiwan
3,4.3,3.3,4.6,3.2,Asia,United Arab Emirates
3.7,3.8,2.7,3.5,3.1,Asia,Malaysia
2.9,3.5,3.8,2.6,3.7,Asia,"Indonesia, Republic of"
4.1,4.5,4.6,1.6,4.3,Asia,"India, Republic of"
1.7,3.6,3.2,3.7,3,Asia,"Philippines, Republic of the"
1.7,3.6,3.6,3.7,4,Asia,"India, Republic of"
3.4,3.6,2.6,1.4,3.2,Asia,Kyrgyz Republic
4.9,4.7,3,2,3.5,Asia,"India, Republic of"
3.7,3.9,3.8,2.6,3.7,Asia,Japan
3.2,2.4,2.2,3.4,5,Asia,"India, Republic of"
3.2,4,3.9,3.1,3.3,Asia,"India, Republic of"
2.1,3.6,3.3,3.6,4.3,Asia,"Philippines, Republic of the"
3.4,3.6,3,3.8,3.1,Asia,"India, Republic of"
2.9,4.6,3.3,2.9,4.4,Asia,"India, Republic of"
2.9,2.3,3.4,3.9,4.6,Asia,Malaysia
1.6,2.8,1.9,3.3,3.1,Asia,"Thailand, Kingdom of"
3.3,2.9,3.6,4,3.6,Asia,"India, Republic of"
2.2,4.7,4.2,3.9,5,Asia,"India, Republic of"
4.1,4.2,3.8,3.8,1.8,Asia,"Pakistan, Islamic Republic of"
2.9,4.1,3.4,3.3,3.6,Asia,"Philippines, Republic of the"
3.7,4.1,3.1,4.3,4.9,Asia,"India, Republic of"
2.1,2.9,2.6,2.9,3.5,Asia,"Philippines, Republic of the"
2.9,3.7,3.5,3.9,3.8,Asia,"Philippines, Republic of the"
1.4,4.1,4.5,2.6,3.7,Asia,"India, Republic of"
1,5,2.6,5,2.5,Asia,"India, Republic of"
2.6,2.8,2.5,2.7,2.8,Asia,"Philippines, Republic of the"
2.2,3.5,3.9,2.8,3.8,Asia,"India, Republic of"
3.8,4.8,3.1,3.6,3.7,Asia,"India, Republic of"
1.3,4.8,3.1,2.9,3.5,Asia,"Singapore, Republic of"
2,2.8,4,3.2,2.5,Asia,United Arab Emirates
3,3.9,2.4,4,3.7,Asia,"India, Republic of"
3.1,3.5,3.2,3.1,3.2,Asia,"India, Republic of"
3.8,4,3.5,2.9,4,Asia,"India, Republic of"
3.5,3.3,2.9,4.4,2.8,Asia,"Pakistan, Islamic Republic of"
2.6,3.4,3.6,3.9,3.4,Asia,"Philippines, Republic of the"
2.9,3.4,2.4,2.4,3.6,Asia,"Philippines, Republic of the"
3,3.8,3.2,2.6,3.1,Asia,"Thailand, Kingdom of"
2.4,4.3,3.3,2.5,3.5,Asia,"India, Republic of"
2.2,3.7,3.2,2.9,4,Asia,"Vietnam, Socialist Republic of"
2.6,3.6,3.5,3.2,3.3,Asia,"Indonesia, Republic of"
2.4,3.3,3.6,3.1,3.5,Asia,"India, Republic of"
4,4.1,2.8,2.9,4.1,Asia,"India, Republic of"
2.3,3.4,4.5,3.7,4.3,Asia,"Philippines, Republic of the"
3.6,4.4,4.1,2.4,4.5,Asia,"Philippines, Republic of the"
2.8,3.3,4.1,2.4,4,Asia,"India, Republic of"
3.2,4.2,3.7,4.1,3.6,Asia,"India, Republic of"
3.5,4.2,4.2,2.5,3.7,Asia,"Indonesia, Republic of"
2.2,3.7,3.9,4,3.3,Asia,"Singapore, Republic of"
4.1,4.3,3.5,3,4.7,Asia,"India, Republic of"
3.3,3.6,3.8,2.3,3.5,Asia,Malaysia
3.3,3.7,2.7,3.9,3.5,Asia,"India, Republic of"
2.6,4.4,3.8,4.2,3.5,Asia,"Pakistan, Islamic Republic of"
2.6,4.1,3.8,2.8,4.2,Asia,"India, Republic of"
3,2.8,4,2.7,4.2,Asia,"Pakistan, Islamic Republic of"
3.4,4.1,4.5,2.4,4.5,Asia,"Philippines, Republic of the"
3.7,4.5,3.1,3.4,4.4,Asia,"Philippines, Republic of the"
2.2,2.4,2.7,4.5,3.1,Asia,"India, Republic of"
3.5,4.7,3.4,3.5,4.3,Asia,"Philippines, Republic of the"
4.4,3.4,2.4,2.7,4.2,Asia,"Turkey, Republic of"
4.1,4.4,3.5,3.7,4.5,Asia,"India, Republic of"
3.2,4,4,2.3,3.6,Asia,"Philippines, Republic of the"
4.1,4.6,2.8,3.4,4.6,Asia,"India, Republic of"
2.9,4.1,3.3,3.4,3.5,Asia,"India, Republic of"
3.1,3.2,3.9,3.3,3,Asia,"India, Republic of"
4.5,2.7,4.1,3.4,4.4,Asia,"Korea, Republic of"
2.1,3.4,3.5,2.6,3.7,Asia,"Cambodia, Kingdom of"
2.8,2.4,3.7,4.3,3.8,Asia,Japan
3,4.8,4.1,2.5,4.3,Asia,"Pakistan, Islamic Republic of"
4.2,3.9,2.7,2.5,3.7,Asia,"India, Republic of"
2.6,4.1,2.7,3.1,3.4,Asia,"India, Republic of"
2.2,3.8,3.6,3.4,4.3,Asia,"Philippines, Republic of the"
3.5,4.2,4,2.7,3.6,Asia,"Philippines, Republic of the"
2.1,3.7,1.4,3.9,4.6,Asia,"India, Republic of"
4.8,4.5,3.3,3.9,3.4,Asia,"Pakistan, Islamic Republic of"
3.5,3.8,3.4,2.6,3.1,Asia,"Philippines, Republic of the"
2.3,3.1,2.5,3.2,3.4,Asia,"Philippines, Republic of the"
2.6,4.4,2.8,3.7,3.2,Asia,"India, Republic of"
2.3,3.2,3.5,4.4,3.6,Asia,"Singapore, Republic of"
4,3.5,3.6,2.9,3.8,Asia,Taiwan
2.2,3.8,4.2,3.1,3.7,Asia,"China, People's Republic of"
3.3,4,3.2,3.8,3.1,Asia,"Philippines, Republic of the"
2.9,3.5,3.9,2.3,3,Asia,"Philippines, Republic of the"
1.2,2.8,3.8,2.6,3.9,Asia,"Philippines, Republic of the"
2.2,4.2,3.5,3.6,3.6,Asia,"Philippines, Republic of the"
2.4,4.1,2.5,3.8,3.6,Asia,"India, Republic of"
3.3,3.5,2.7,3.8,2.9,Asia,"India, Republic of"
4.3,4.3,2.5,2.5,2.9,Asia,"Pakistan, Islamic Republic of"
1.8,3.9,3.6,2.1,3.1,Asia,"China, People's Republic of"
3.5,3.8,4.7,2.1,3.3,Asia,"India, Republic of"
3.6,3.9,3.5,2.2,3.9,Asia,"Indonesia, Republic of"
2.8,3.9,3.7,2.7,3.4,Asia,"India, Republic of"
3.7,5,4,3.5,4.4,Asia,"Philippines, Republic of the"
2.5,4.1,3.8,2.9,4.6,Asia,"India, Republic of"
4.6,4.9,4.2,1.2,4.5,Asia,"Indonesia, Republic of"
2.8,3.7,3.5,2.5,2.7,Asia,"India, Republic of"
1.1,3.5,2.6,4.4,4,Asia,"India, Republic of"
3.4,4.4,4.7,3.3,4,Asia,United Arab Emirates
3.7,4,3.4,2.8,3.5,Asia,"India, Republic of"
1.2,2.2,3.3,3.9,2.9,Europe,United Kingdom of Great Britain & Northern Ireland
2.6,4.1,4.4,2.6,4.2,Europe,"Denmark, Kingdom of"
4.7,4.2,4.1,2.1,3.9,Europe,"Sweden, Kingdom of"
4.3,4.2,3.8,4.1,4.6,Europe,United Kingdom of Great Britain & Northern Ireland
1.8,2.5,2.7,2.6,3.8,Europe,United Kingdom of Great Britain & Northern Ireland
2.7,3.7,2.3,2.1,5,Europe,"Denmark, Kingdom of"
5,4.8,2.4,4.1,4.5,Europe,United Kingdom of Great Britain & Northern Ireland
4.3,4.6,4.2,2.7,4.9,Europe,"Serbia, Republic of"
1.8,3.1,3.2,3.6,3.4,Europe,Romania
3.3,3.8,1.8,2.4,4.7,Europe,"Germany, Federal Republic of"
3,2.5,2.6,2.9,3.8,Europe,United Kingdom of Great Britain & Northern Ireland
3.7,4.6,4.2,4.4,4.1,Europe,"Sweden, Kingdom of"
3.9,4,3.5,3.5,4.8,Europe,United Kingdom of Great Britain & Northern Ireland
4.3,4.4,3.4,2.1,3.9,Europe,"Italy, Italian Republic"
1.6,1.7,3.7,4,4.9,Europe,United Kingdom of Great Britain & Northern Ireland
3.9,4.5,3,1.9,4.7,Europe,Romania
2.7,3.7,3.2,4.3,3.6,Europe,United Kingdom of Great Britain & Northern Ireland
4.5,4.9,4.1,1.2,4.8,Europe,"Sweden, Kingdom of"
2.7,3.3,2.5,4.8,3.9,Europe,United Kingdom of Great Britain & Northern Ireland
3.2,4.1,4.3,2.1,4.2,Europe,"Netherlands, Kingdom of the"
2.1,3.7,1.9,3.7,4.3,Europe,United Kingdom of Great Britain & Northern Ireland
3.7,4.8,3.6,2.3,4.1,Europe,United Kingdom of Great Britain & Northern Ireland
4.5,2.7,2.5,2.8,2.5,Europe,United Kingdom of Great Britain & Northern Ireland
2.6,4.2,4.2,3,4,Europe,"Portugal, Portuguese Republic"
2.7,3.8,3.3,3.9,3.6,Europe,"Sweden, Kingdom of"
1.4,4.3,3.8,2.6,3.5,Europe,"Sweden, Kingdom of"
