sex,age,height,weight,team,year,season,sport,medaled
1,22,170,125,Romania,2016,Summer,Weightlifting,FALSE
0,23,167,64,Spain,2016,Summer,Gymnastics,FALSE
0,23,167,64,Spain,2016,Summer,Gymnastics,FALSE
0,23,167,64,Spain,2016,Summer,Gymnastics,FALSE
0,23,167,64,Spain,2016,Summer,Gymnastics,FALSE
0,23,167,64,Spain,2016,Summer,Gymnastics,FALSE
0,23,167,64,Spain,2016,Summer,Gymnastics,FALSE
0,26,170,65,Spain,2016,Summer,Athletics,FALSE
0,21,198,90,Italy,2016,Summer,Rowing,TRUE
1,21,165,49,Azerbaijan,2016,Summer,Taekwondo,TRUE
0,31,182,86,France,2016,Summer,Handball,TRUE
0,23,175,75,Algeria,2016,Summer,Boxing,FALSE
0,20,175,66,Bahrain,2016,Summer,Athletics,FALSE
1,23,178,72,Netherlands,2016,Summer,Handball,FALSE
0,24,180,104,Iraq,2016,Summer,Weightlifting,FALSE
1,30,167,58,Ireland,2016,Summer,Equestrianism,FALSE
1,30,167,58,Ireland,2016,Summer,Equestrianism,FALSE
1,30,163,52,United States,2016,Summer,Cycling,FALSE
0,28,203,97,Egypt,2016,Summer,Volleyball,FALSE
1,18,172,61,Egypt,2016,Summer,Diving,FALSE
0,31,197,87,Egypt,2016,Summer,Volleyball,FALSE
0,36,170,60,Egypt,2016,Summer,Shooting,FALSE
0,36,170,60,Egypt,2016,Summer,Shooting,FALSE
1,35,165,57,Egypt,2016,Summer,Shooting,FALSE
0,27,188,89,Egypt,2016,Summer,Volleyball,FALSE
0,24,176,60,Egypt,2016,Summer,Boxing,FALSE
0,26,175,81,Egypt,2016,Summer,Judo,FALSE
0,28,173,77,Egypt,2016,Summer,Weightlifting,FALSE
0,25,170,94,Egypt,2016,Summer,Weightlifting,FALSE
0,23,184,68,Algeria,2016,Summer,Football,FALSE
1,19,160,46,Egypt,2016,Summer,Synchronized Swimming,FALSE
0,20,165,60,Egypt,2016,Summer,Judo,FALSE
0,26,207,90,Egypt,2016,Summer,Volleyball,FALSE
0,26,170,80,Iran,2016,Summer,Wrestling,TRUE
0,27,176,56,Belgium,2016,Summer,Athletics,FALSE
0,27,176,56,Belgium,2016,Summer,Athletics,FALSE
1,27,180,67,Cameroon,2016,Summer,Volleyball,FALSE
0,30,165,60,Kazakhstan,2016,Summer,Boxing,FALSE
1,17,147,50,Brunei,2016,Summer,Athletics,FALSE
0,28,188,91,Azerbaijan,2016,Summer,Boxing,FALSE
0,26,190,130,Uzbekistan,2016,Summer,Wrestling,FALSE
0,33,178,74,Iraq,2016,Summer,Boxing,FALSE
0,26,172,74,Uzbekistan,2016,Summer,Wrestling,FALSE
0,29,192,117,Tajikistan,2016,Summer,Judo,FALSE
0,26,172,60,Russia,2016,Summer,Boxing,FALSE
0,31,180,83,Iran,2016,Summer,Fencing,FALSE
1,24,160,62,Canada,2016,Summer,Diving,FALSE
1,24,160,62,Canada,2016,Summer,Diving,FALSE
0,30,184,85,Germany,2016,Summer,Athletics,FALSE
0,22,176,66,Mexico,2016,Summer,Football,FALSE
0,24,192,68,Ethiopia,2016,Summer,Athletics,FALSE
0,20,180,74,Sri Lanka,2016,Summer,Swimming,FALSE
0,24,166,52,Armenia,2016,Summer,Boxing,FALSE
0,31,177,68,Spain,2016,Summer,Badminton,FALSE
1,27,162,56,Kenya,2016,Summer,Rugby Sevens,FALSE
1,31,168,60,France,2016,Summer,Football,FALSE
0,35,170,68,Nigeria,2016,Summer,Table Tennis,FALSE
1,21,175,75,Brazil,2016,Summer,Water Polo,FALSE
0,24,161,62,Russia,2016,Summer,Gymnastics,TRUE
0,24,161,62,Russia,2016,Summer,Gymnastics,FALSE
0,24,161,62,Russia,2016,Summer,Gymnastics,TRUE
0,24,161,62,Russia,2016,Summer,Gymnastics,TRUE
1,23,182,78,Cameroon,2016,Summer,Volleyball,FALSE
0,30,197,92,Australia,2016,Summer,Swimming,FALSE
0,30,197,92,Australia,2016,Summer,Swimming,TRUE
0,27,210,88,Egypt,2016,Summer,Volleyball,FALSE
0,41,186,86,Egypt,2016,Summer,Volleyball,FALSE
0,28,183,85,Egypt,2016,Summer,Handball,FALSE
0,25,188,87,Egypt,2016,Summer,Fencing,FALSE
