"IQ","Income","DroppedOut"
"1",88,94124.2723617529,FALSE
"2",112,91796.8319151211,FALSE
"3",102,92735.0388817304,TRUE
"4",85,73180.2773657118,TRUE
"5",95,68914.9034707196,TRUE
"6",118,107366.137630267,TRUE
"7",94,23197.9778306394,TRUE
"8",117,112046.824982381,FALSE
"9",94,79428.0432493097,FALSE
"10",73,99120.7928511813,FALSE
"11",99,91773.024708302,TRUE
"12",90,76634.8798116698,FALSE
"13",107,63935.2550452443,TRUE
"14",116,69845.1868898117,TRUE
"15",101,71732.6532921071,FALSE
"16",97,66284.984670723,TRUE
"17",88,96664.2169269192,FALSE
"18",87,65996.1636349551,TRUE
"19",92,75379.5524313684,TRUE
"20",108,60021.5628421411,TRUE
"21",114,65898.0504751667,FALSE
"22",112,86622.5423841715,TRUE
"23",109,98741.1104299434,TRUE
"24",98,47945.4903034235,FALSE
"25",106,103591.842240441,TRUE
"26",91,28897.9416094641,FALSE
"27",94,53218.0114444325,TRUE
"28",116,94495.6421780179,TRUE
"29",88,70291.2994472818,FALSE
"30",133,112731.553261906,FALSE
"31",124,74743.809491488,FALSE
"32",123,124861.176052901,TRUE
"33",102,66881.5394219238,TRUE
"34",111,52850.8669498687,FALSE
"35",91,76858.8733332275,TRUE
"36",82,39698.6130399927,FALSE
"37",126,116397.775436833,TRUE
"38",98,51187.7688674945,FALSE
"39",104,55427.2698904921,TRUE
"40",114,82007.954527376,FALSE
"41",107,94498.7880796009,TRUE
"42",113,82912.654593463,FALSE
"43",108,100048.969419727,FALSE
"44",86,61393.9610927207,FALSE
"45",98,38684.7345841068,FALSE
"46",95,19001.1032329728,FALSE
"47",73,81874.7540893461,TRUE
"48",100,102708.914682999,TRUE
"49",101,42840.1430996733,FALSE
"50",81,61165.8438557562,FALSE
"51",90,43976.7157961901,FALSE
"52",99,26017.1737848341,FALSE
"53",89,73454.3473077703,TRUE
"54",127,101705.783363661,TRUE
"55",85,75496.5813699498,TRUE
"56",105,81226.3686990901,TRUE
"57",112,69354.3800257106,TRUE
"58",95,110961.094989516,FALSE
"59",98,101965.033902683,FALSE
"60",90,56216.3364860567,FALSE
"61",76,65939.6857272017,TRUE
"62",87,49152.773829888,FALSE
"63",106,55111.5096218925,TRUE
"64",84,41401.0577451347,TRUE
"65",108,92250.8935782971,FALSE
"66",93,43027.8411566598,TRUE
"67",89,56397.8052988333,FALSE
"68",96,57394.195774221,TRUE
"69",98,46744.3149155373,TRUE
"70",100,71508.7588367829,TRUE
"71",89,56752.1434403273,FALSE
"72",110,56710.4095817613,TRUE
"73",81,66902.0549068227,TRUE
"74",114,72484.1403546766,FALSE
"75",102,83930.1472617124,TRUE
"76",76,47021.1497291124,FALSE
"77",94,95576.6284152505,TRUE
"78",122,88356.1577684527,TRUE
"79",100,74436.7737821776,FALSE
"80",71,52453.2985280721,FALSE
"81",99,42765.8978306815,FALSE
"82",110,74877.6140039315,TRUE
"83",111,82156.728343739,TRUE
"84",90,54940.2511648182,FALSE
"85",89,92732.1233442684,TRUE
"86",98,42047.5209197373,FALSE
"87",105,51300.2662560491,TRUE
"88",123,92816.9334540115,FALSE
"89",71,73744.6976225455,TRUE
"90",111,67209.4727479777,FALSE
"91",107,73467.7142917885,TRUE
"92",96,68642.7664428318,FALSE
"93",112,73301.4531567866,FALSE
"94",111,58364.4419048478,FALSE
"95",92,74107.3079567814,FALSE
"96",106,62647.3602546628,FALSE
"97",74,30906.4624734347,TRUE
"98",81,59959.1696297324,TRUE
"99",85,49536.7913185441,FALSE
"100",82,37958.9359784185,FALSE
