Age,Frequency,Goal,AppLength,BeenGhosted
24 to 34,Frequently,Long-term relationship,1-6 months,Both
24 to 34,Frequently,Long-term relationship,more than 1 year,Both
24 to 34,Rarely,Long-term relationship,more than 1 year,Being ghosted
24 to 34,Rarely,I don't know yet,more than 1 year,Being ghosted
18 to 24,Occasionally,Long-term relationship,approximately 1 year,Both
18 to 24,Rarely,Long-term relationship,1-6 months,Both
24 to 34,Occasionally,Long-term relationship,more than 1 year,Being ghosted
24 to 34,Rarely,I don't know yet,1-6 months,Being ghosted
24 to 34,Frequently,Short-term or casual relationship,more than 1 year,Being ghosted
24 to 34,Rarely,Long-term relationship,more than 1 year,Being ghosted
24 to 34,Rarely,I don't know yet,more than 1 year,Neither
24 to 34,Rarely,Long-term relationship,1-6 months,Neither
18 to 24,Frequently,Long-term relationship,1-6 months,Both
18 to 24,Occasionally,Short-term or casual relationship,more than 1 year,Both
18 to 24,Rarely,I don't know yet,1-6 months,Both
24 to 34,Rarely,Long-term relationship,1-6 months,Both
18 to 24,Occasionally,Short-term or casual relationship,1-6 months,Ghosting
18 to 24,Rarely,Long-term relationship,1-6 months,Both
24 to 34,Frequently,Long-term relationship,more than 1 year,Being ghosted
24 to 34,Rarely,I don't know yet,1-6 months,Both
24 to 34,Rarely,I don't know yet,more than 1 year,Neither
24 to 34,Rarely,Long-term relationship,1-6 months,Neither
18 to 24,Frequently,Long-term relationship,1-6 months,Both
18 to 24,Occasionally,Short-term or casual relationship,more than 1 year,Both
18 to 24,Rarely,I don't know yet,1-6 months,Both
24 to 34,Rarely,Long-term relationship,1-6 months,Both
18 to 24,Frequently,Long-term relationship,1-6 months,Both
18 to 24,Occasionally,Short-term or casual relationship,more than 1 year,Both
18 to 24,Rarely,I don't know yet,1-6 months,Both
18 to 24,Frequently,Long-term relationship,1-6 months,Both
18 to 24,Occasionally,Short-term or casual relationship,more than 1 year,Both
18 to 24,Rarely,I don't know yet,1-6 months,Both
24 to 34,Frequently,Long-term relationship,1-6 months,Both
24 to 34,Frequently,Long-term relationship,more than 1 year,Both
24 to 34,Rarely,Long-term relationship,more than 1 year,Being ghosted
24 to 34,Rarely,I don't know yet,more than 1 year,Being ghosted
18 to 24,Occasionally,Long-term relationship,approximately 1 year,Both
18 to 24,Rarely,Long-term relationship,1-6 months,Both
24 to 34,Occasionally,Long-term relationship,more than 1 year,Being ghosted
24 to 34,Rarely,I don't know yet,1-6 months,Being ghosted
24 to 34,Frequently,Short-term or casual relationship,more than 1 year,Being ghosted
24 to 34,Rarely,Long-term relationship,more than 1 year,Being ghosted
24 to 34,Rarely,I don't know yet,more than 1 year,Neither
24 to 34,Rarely,Long-term relationship,1-6 months,Neither
18 to 24,Frequently,Long-term relationship,1-6 months,Both
18 to 24,Occasionally,Short-term or casual relationship,more than 1 year,Both
18 to 24,Rarely,I don't know yet,1-6 months,Both
24 to 34,Rarely,Long-term relationship,1-6 months,Both
18 to 24,Occasionally,Short-term or casual relationship,1-6 months,Ghosting
18 to 24,Rarely,Long-term relationship,1-6 months,Both
24 to 34,Frequently,Long-term relationship,more than 1 year,Being ghosted
24 to 34,Rarely,I don't know yet,1-6 months,Both
24 to 34,Rarely,I don't know yet,more than 1 year,Neither
24 to 34,Rarely,Long-term relationship,1-6 months,Neither
18 to 24,Frequently,Long-term relationship,1-6 months,Both
18 to 24,Occasionally,Short-term or casual relationship,more than 1 year,Both
18 to 24,Rarely,I don't know yet,1-6 months,Both
24 to 34,Rarely,Long-term relationship,1-6 months,Both
18 to 24,Frequently,Long-term relationship,1-6 months,Both
18 to 24,Occasionally,Short-term or casual relationship,more than 1 year,Both
18 to 24,Rarely,I don't know yet,1-6 months,Both
18 to 24,Frequently,Long-term relationship,1-6 months,Both
18 to 24,Occasionally,Short-term or casual relationship,more than 1 year,Both
18 to 24,Rarely,I don't know yet,1-6 months,Both
