id,e,n,c,a,o,pa,na,ls,fave_animal
1,2.05,4.75,3.2,5,4.65,17,16,1.4,cat
2,1.3,5,2.75,3.2,1.8,17,25,1.4,dog
3,2.95,4.35,3.8,3.9,3.15,19,12,3,other
4,1.5,4.85,3.35,2.85,4.6,10,25,1,cat
5,1.85,4.1,3.2,4.2,3.25,17,18,1,dog
6,1.4,3.9,4.45,4.45,2.85,24,32,1,other
7,2.4,3.8,2.3,2.65,2.15,14,30,2,cat
8,2.1,3.2,3.35,4.4,3.7,12,16,1,dog
9,2.2,3.05,4.1,3.45,2.9,26,12,6,other
10,2.3,3.55,1.85,3.9,4.4,25,12,2.4,cat
11,2.5,3.85,2.35,3.05,3.55,29,22,2.2,cat
12,NA,3.6,4.15,3.1,2.95,21,10,5.2,dog
13,2.65,3.95,3.05,3.65,3.65,26,13,3.2,other
14,2,4.5,2.9,3.35,2.35,21,19,2,other
15,3,3.05,2.75,3,3.2,26,26,7,other
16,3,3.15,2.95,2.7,2.9,38,39,5,cat
17,3.45,1.85,4.25,4.5,2.95,32,10,5.2,dog
18,3.15,3,3.55,NA,3.25,42,23,5.4,dog
19,3.45,2.45,3.35,3.15,3.3,41,11,4,NA
20,3.2,3.1,3,2.9,2.8,38,24,4.2,dog
21,3.25,3.4,3.1,3.15,3.05,39,27,3.8,other
22,2.9,3.85,3.3,3.45,4,29,24,4.2,cat
23,3,3,3,3,3,36,35,4.2,dog
24,3.3,2,3.9,3.95,3.65,32,10,4.8,cat
25,4.1,1.65,4.75,4.95,3.55,32,10,5,cat
26,3,2.65,3.3,3.65,2.8,29,19,4.4,other
27,4.55,2.05,4.3,4,4.3,50,14,7,cat
28,4.1,2.25,4.3,3.85,4.2,48,12,5,dog
29,3.6,2.5,3.3,3.8,3.2,28,10,2.4,other
30,2.8,3,2.15,3.8,4,34,12,2.6,cat
31,3.05,2.95,2.75,2.9,3.3,32,35,5,dog
32,3.15,3.05,2.95,2.9,3.1,24,12,4.8,cat
33,2.95,3.15,3.75,4.25,3.3,32,28,NA,cat
34,3.55,2.2,3.5,3.8,3.3,42,11,4.6,cat
35,3.15,3.05,3.35,3.9,3.75,23,13,5,dog
36,3.4,2,3.65,3.8,3.95,50,10,6.6,dog
37,4.15,3.4,4.55,4.2,2.8,21,10,6.2,cat
38,3.05,3.7,2.85,3.1,3.05,21,16,5.4,other
39,3.2,2.95,3.25,2.95,3.2,15,11,4.4,dog
40,2.65,2.95,2.95,3.05,2.85,27,26,4,cat
41,3.3,3.3,3.1,3.3,3.4,35,24,2.6,cat
42,3.7,2.3,3.5,3.1,3.6,23,10,7,other
43,1.85,3.65,2.2,2.4,1.9,10,33,2,cat
44,2.95,2.75,3.5,3.25,3.6,40,14,5.6,dog
45,1.15,2.95,2.4,3.05,3,22,18,2.8,dog
46,2.45,1.95,4.9,4.95,4.7,30,10,6,cat
47,2.55,3,3.1,4.55,3.7,23,14,4.8,other
48,2.1,4.8,3.15,3.7,4.25,24,38,1.2,cat
49,3.55,2.65,3.35,3.7,3.65,37,10,4.6,cat
50,3.1,2.1,3.25,4.45,3.8,35,12,4,dog
51,2.2,3.3,3.45,4.25,3.7,23,14,4,dog
52,2.55,3.6,2.45,2.55,2.95,28,25,3.2,dog
53,3.6,2.4,3.75,4.25,4.25,32,14,3.4,cat
54,3.6,2.4,3.75,3.6,3.2,45,18,6,other
55,2.9,3,3.7,NA,2.35,33,12,3.8,dog
56,3.7,3.8,3.5,3.5,4.05,32,14,5,cat
57,2.85,2.75,3.4,4.2,4,37,12,5.6,other
58,2.75,2.2,2.75,4.5,3.25,27,13,5,cat
59,3.2,1.6,3.75,4.15,3.1,34,15,4.6,dog
60,3.4,2.75,3.65,3.4,4.05,28,13,4,other
61,2.35,3.55,3.4,2.85,3.05,22,13,3,other
62,2.9,2.35,3.15,3.25,3.4,31,12,6,other
63,1.25,3.7,4.4,3.45,3.6,26,10,6,cat
64,3.35,3.35,3,3.15,3.15,34,22,6,other
65,2.7,2.7,2.9,3.5,3.15,16,14,1.8,cat
66,4.2,2.6,3.9,4.4,3.65,35,15,5,dog
67,2.7,3.25,2.8,4.05,3.45,28,13,5.8,other
68,2.35,2.9,4.35,NA,3.55,22,14,2.8,other
69,3.55,2.65,3.05,3.55,4,30,20,2,other
70,3.7,2.35,3.7,3.4,4,38,17,4.4,other
71,3.65,2.65,4.1,4.45,3.6,31,10,5.2,dog
72,3.15,3.5,3.45,3.55,3.05,25,10,5.2,dog
73,2.95,3.1,3.1,2.85,2.95,27,28,5.4,cat
74,NA,2.8,4.7,4.5,4.25,46,15,5.6,dog
75,2.95,3.25,2.6,3.1,3.55,24,16,5.2,cat
76,2.7,3.25,3.45,4,4.35,29,21,2.4,dog
77,3.6,2.3,3.9,3.1,3.55,26,12,6,cat
78,3.75,3.35,3.3,4.15,4.15,25,27,4.4,cat
79,3.4,3.55,3.5,3.6,3.4,37,17,5.2,cat
80,2.3,3.05,2.75,4.3,4.7,28,17,1.2,dog
81,3.35,2.75,3.15,3.15,3.4,30,12,4.6,dog
82,2.75,2.35,3.2,4.05,3.75,21,10,2.8,other
83,2.35,2.85,3.5,4.2,3.7,23,14,4.4,other
84,2.4,3.25,2.6,3.7,3.5,22,21,2.8,other
85,NA,3.1,4.1,4.45,3.85,29,12,3,other
86,2.55,2.25,2.95,3.4,3.35,19,11,4.4,dog
87,2.45,3.25,2.6,NA,3.6,21,20,2.8,other
88,3.8,2.65,3.4,3.95,3.8,23,10,6.6,cat
89,3.25,2.6,3.5,3.95,4.75,24,18,1.2,cat
90,3.75,2.25,4.15,4.15,3.85,40,10,5.8,cat
91,2.2,2.1,4.2,5,4.8,24,12,7,dog
92,4,2.35,3.95,4.7,4.3,35,17,5.6,cat
93,4,3.05,3.75,4,3.6,33,18,5.4,dog
94,3,2.1,2.95,4.5,3.7,21,11,6,other
95,3.6,2.3,3.5,3.7,3.2,26,10,3,other
96,3.8,2.35,4.05,4.3,3.9,32,11,5.2,other
97,2.65,2.5,3.3,3.35,3.45,25,10,4.2,dog
98,3.85,2.3,3.75,3.55,3.85,32,10,5.4,cat
99,3.3,3.05,3.7,3.6,3.35,38,20,4.8,cat
100,3.25,3.4,3.6,4.35,3.95,29,15,4.8,cat
101,3.25,3.05,3,2.9,3,36,32,4.8,cat
102,2.2,2.1,3.7,3.85,4.3,16,11,5.8,dog
103,3.8,2.25,4,4.3,3.85,37,16,5.2,dog
104,3.35,3.2,3.2,3.55,4.45,39,18,5.8,cat
105,3.25,1.9,3.7,3.95,4.4,15,10,5,dog
106,2.95,3.15,2.55,3.8,4.3,32,11,7,cat
107,3.7,4.35,3.8,4.5,3.25,35,10,2.4,dog
108,3.55,2.05,3.55,3.15,3.6,30,10,6,other
109,3.95,2.05,3.85,3.95,4,40,10,5.6,cat
110,3.25,2.9,3.75,3.8,3.95,40,25,6,dog
111,3.3,2.45,3.6,2.55,3.6,10,10,2.8,dog
112,3.4,2.05,3.45,3.9,4.05,38,16,5.4,cat
113,3.6,2.3,3.45,2.75,3.8,50,10,7,dog
114,3.3,2.95,3.75,3.65,3.95,24,11,5,cat
115,3.5,2.75,3.5,NA,4.2,28,10,1.8,cat
116,3.7,1.3,4.25,4.35,4.5,34,11,5.8,NA
117,3.5,1.75,3.45,3.8,4.4,34,11,5.8,cat
118,3.15,2.6,3.15,3.5,3.7,13,10,3.2,other
119,3.85,3.5,3.65,3.4,4.1,27,12,5.8,dog
120,3.6,2.05,3.1,3.95,3.95,30,10,4.2,other
121,3.75,1.55,4.15,3.95,3,38,10,6.2,dog
122,2.65,2.6,2.8,4.05,3.4,26,17,1.2,other
123,3.05,3.25,3.55,3.55,3.95,24,27,3,dog
124,3.6,2.45,3.15,3.05,3.45,25,10,5.2,dog
125,3.75,2.2,3.05,4.05,4.2,37,10,5.8,other
126,3.35,2.45,3.5,3.7,3.95,42,15,5.4,cat
127,3.9,1.25,4.35,4.55,3.2,41,11,6,cat
128,3.45,1.85,3.8,3.95,3.7,38,10,3.2,other
129,3.4,3.55,3.25,3.15,4.9,26,19,3.2,dog
130,3,3.25,3.4,2.95,4.1,27,17,3.4,dog
131,4,1.55,2.85,3.95,4.05,21,10,4.2,dog
132,3.5,2.15,4.05,3.7,3.65,28,12,4.6,cat
133,3.05,2.95,3.1,3.1,3.1,31,10,5,dog
134,3.45,2.25,3.15,3.85,3.75,22,10,4.8,cat
135,3.6,2.4,3.6,3.8,3.85,33,19,6,other
136,3.85,1.85,3.3,4.2,4.05,36,11,5,other
137,3.35,1.55,4.15,4.15,4.2,39,10,6,dog
138,2.9,2.75,3.8,3.5,3.8,29,12,4.6,cat
139,3.75,2.7,3.95,4.1,4.1,36,11,3.6,dog
140,3.85,2.1,3.7,3.8,3.8,37,10,5.2,cat
141,3.6,2.15,3.6,3.5,3.8,17,11,4.6,dog
142,2.9,2,3.8,3.35,3,30,10,6,dog
143,2.8,1.35,4.6,4.75,3.35,37,10,6.8,dog
