country,nerdy_scale,continent,nerdy_selfreport,gender,voted
MA,4.115384615,Africa,6,Male,2
ZA,4.230769231,Africa,2,Male,2
TN,4.615384615,Africa,6,Male,1
EG,4.153846154,Africa,6,Male,2
KE,3.807692308,Africa,6,Male,1
KE,3.769230769,Africa,6,Male,2
ZA,4.269230769,Africa,7,Male,2
NG,4.346153846,Africa,7,Male,1
BF,2.730769231,Africa,3,Male,2
EG,4.115384615,Africa,5,Male,1
ZA,3.5,Africa,7,Male,2
RW,4.307692308,Africa,6,Male,1
ZA,4.269230769,Africa,7,Male,2
ZA,3.923076923,Africa,6,Male,2
ZA,3.346153846,Africa,6,Male,2
KE,3.076923077,Africa,5,Male,2
ZA,4.692307692,Africa,7,Male,2
MU,3.846153846,Africa,5,Male,2
NG,4,Africa,4,Male,2
KE,4.615384615,Africa,6,Male,1
NG,3.807692308,Africa,6,Male,2
NG,2.923076923,Africa,3,Male,1
ZA,3.769230769,Africa,7,Male,2
ZA,3.076923077,Africa,2,Male,2
DZ,4.230769231,Africa,5,Male,2
NG,3.923076923,Africa,5,Male,2
NG,4.461538462,Africa,4,Male,2
LY,3.346153846,Africa,5,Male,2
MZ,2.846153846,Africa,4,Male,2
ZA,3.423076923,Africa,4,Male,1
ZA,4.5,Africa,7,Male,1
UG,3.884615385,Africa,6,Male,1
ZA,3.692307692,Africa,6,Male,2
ZA,2.884615385,Africa,5,Male,2
ET,4,Africa,6,Male,2
MZ,4.346153846,Africa,7,Male,2
ZA,3.307692308,Africa,5,Male,2
ZA,3.692307692,Africa,6,Male,2
ZA,3.615384615,Africa,7,Male,2
MA,3.384615385,Africa,5,Male,2
DZ,3.576923077,Africa,4,Male,2
ZA,4,Africa,7,Male,1
BW,3.384615385,Africa,3,Male,2
GH,3.538461538,Africa,4,Male,2
KE,4.384615385,Africa,7,Male,2
NG,3.461538462,Africa,6,Male,2
ZA,3.5,Africa,4,Male,2
GH,3.923076923,Africa,5,Male,2
ZA,3.5,Africa,6,Male,1
TN,3,Africa,4,Male,2
MZ,4.461538462,Africa,7,Male,2
ZA,4.269230769,Africa,6,Male,2
MA,3.576923077,Africa,4,Male,2
ZA,4.230769231,Africa,7,Male,1
ZA,4.769230769,Africa,7,Male,2
EG,3.961538462,Africa,6,Male,1
KE,3.923076923,Africa,5,Male,2
KE,2.307692308,Africa,1,Male,2
ZA,4.038461538,Africa,6,Male,2
NG,3,Africa,5,Male,2
ET,3.384615385,Africa,6,Male,2
TN,4.076923077,Africa,5,Male,2
ZM,4.730769231,Africa,7,Male,1
NG,3.653846154,Africa,5,Male,2
DZ,3.615384615,Africa,3,Male,2
ZA,4.5,Africa,7,Male,1
KE,3.846153846,Africa,6,Male,2
ZA,3.423076923,Africa,2,Male,2
ZA,4.307692308,Africa,6,Male,2
GH,4.115384615,Africa,5,Male,2
SZ,4.115384615,Africa,5,Male,2
