country,nerdy_scale,continent,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,nerdy_selfreport
MA,3.307692308,Africa,4,4,1,5,5,6,5,1,6,1,5
ZA,4.038461538,Africa,3,6,4,4,3,7,6,5,4,1,6
SD,3.653846154,Africa,6,6,3,7,5,4,2,5,4,5,3
NG,2.423076923,Africa,2,7,2,5,5,1,3,5,5,3,4
ZA,3.576923077,Africa,4,7,6,5,4,5,3,3,4,5,4
ZA,4.5,Africa,2,2,3,5,7,5,7,7,5,7,7
GH,3.769230769,Africa,7,2,7,3,7,5,6,4,6,1,7
KE,3.807692308,Africa,1,1,5,3,6,6,3,4,5,1,6
ZA,3.653846154,Africa,2,1,7,7,4,6,6,4,2,4,6
ZA,3.076923077,Africa,7,7,2,5,7,1,4,6,3,1,2
ZA,3.769230769,Africa,2,5,6,7,6,6,7,3,2,7,7
MA,3.769230769,Africa,7,5,6,2,7,4,7,3,4,1,4
EG,4.153846154,Africa,1,3,4,6,2,6,5,4,5,3,6
ZA,3.846153846,Africa,4,5,4,7,4,6,6,7,3,3,7
NG,4.538461538,Africa,1,7,5,5,7,5,1,3,3,1,4
ET,3.384615385,Africa,4,5,7,5,5,4,5,1,6,1,4
MA,3.384615385,Africa,5,5,6,5,5,7,5,4,5,3,5
DZ,3.615384615,Africa,2,6,3,6,5,6,6,6,2,2,3
ZM,2.961538462,Africa,6,6,6,3,2,1,5,4,6,7,7
KE,4.076923077,Africa,1,2,7,2,7,7,6,6,7,1,6
GH,3.923076923,Africa,2,6,3,5,4,3,2,6,4,2,5
ZA,2.846153846,Africa,5,6,6,1,6,6,5,5,7,3,6
ZA,3.269230769,Africa,1,2,2,1,4,7,2,7,6,1,4
KE,4.615384615,Africa,6,6,4,2,7,7,3,6,2,1,6
ZA,4,Africa,5,4,6,5,3,7,6,4,4,4,7
NG,4.153846154,Africa,3,1,6,1,7,5,6,4,7,1,6
GH,3.538461538,Africa,2,1,7,6,5,6,7,3,6,4,4
ZW,3.615384615,Africa,5,7,4,1,7,6,4,7,7,1,5
NG,4.076923077,Africa,7,5,6,3,5,1,5,1,5,1,5
ZW,3.576923077,Africa,2,2,7,2,6,2,5,1,6,1,2
ZA,4.230769231,Africa,5,5,2,5,6,5,6,7,5,5,7
ZM,4.653846154,Africa,5,6,3,6,7,5,6,5,2,1,7
RW,4.307692308,Africa,0,0,0,0,0,0,0,0,0,0,6
UG,3.884615385,Africa,1,1,5,7,6,7,5,6,4,2,6
TN,3.769230769,Africa,1,1,6,5,3,7,4,6,4,5,6
ZA,4.307692308,Africa,3,4,5,6,6,7,7,5,4,3,6
NG,4,Africa,4,6,3,2,7,7,5,3,5,2,4
MA,3.615384615,Africa,4,5,5,6,6,7,6,7,6,1,4
EG,4.076923077,Africa,2,4,6,6,3,7,4,4,3,3,4
ZA,4.615384615,Africa,7,7,6,5,7,4,7,1,2,1,7
AO,2.961538462,Africa,2,3,4,6,6,6,6,5,6,2,4
ZA,4.5,Africa,1,4,7,1,6,7,1,1,7,4,7
ZA,4.307692308,Africa,7,5,4,2,7,6,6,2,7,7,6
ZA,3.384615385,Africa,2,1,7,7,7,6,6,1,3,1,6
ZM,4.730769231,Africa,7,7,7,6,7,7,3,3,4,1,7
GH,4.115384615,Africa,1,6,6,1,6,6,6,1,6,1,5
ZA,3.307692308,Africa,3,2,3,6,5,2,4,3,2,2,5
KE,4.384615385,Africa,1,5,7,1,7,7,1,1,7,1,7
KE,3.423076923,Africa,4,3,7,3,7,5,6,3,5,4,5
ZA,2.576923077,Africa,5,5,7,4,5,6,5,1,7,4,4
GH,2.576923077,Africa,6,5,2,2,5,4,5,5,5,4,2
KE,4.346153846,Africa,3,7,6,5,6,6,7,5,5,3,7
DZ,2.923076923,Africa,1,7,5,7,1,7,1,7,1,3,6
ZA,3.038461538,Africa,2,5,5,5,6,7,5,1,3,3,4
ZA,4.5,Africa,1,6,6,5,7,6,2,4,5,1,7
DZ,4.269230769,Africa,3,1,7,5,6,7,5,4,4,1,6
ZA,4.346153846,Africa,5,7,5,6,7,2,5,7,2,1,7
EG,2.653846154,Africa,4,3,4,2,7,6,7,6,3,4,3
ZA,3.615384615,Africa,3,2,2,6,5,6,5,3,2,2,5
BW,3.384615385,Africa,6,4,7,2,7,2,4,2,7,1,3
NG,3.269230769,Africa,3,7,2,1,5,3,4,7,5,1,4
ZA,3.538461538,Africa,2,6,2,3,6,6,6,5,6,3,6
RE,4.346153846,Africa,1,6,7,7,5,7,4,1,5,2,6
MU,3.192307692,Africa,3,4,2,6,4,7,4,5,1,7,4
ZA,3.615384615,Africa,1,5,5,3,3,6,1,5,5,6,7
ZA,3.538461538,Africa,5,7,4,6,3,4,6,7,2,1,6
ZA,3.538461538,Africa,1,1,5,5,4,6,3,2,2,3,5
BW,4.346153846,Africa,4,4,6,3,6,7,6,2,6,2,7
MG,3.5,Africa,1,5,5,4,7,7,3,4,7,3,5
ZA,3.5,Africa,3,5,4,6,4,6,4,3,4,1,7
KE,3.076923077,Africa,2,4,2,4,7,4,3,5,5,3,5
ZA,4.115384615,Africa,4,7,6,5,7,3,4,7,5,1,5
MA,4.346153846,Africa,2,2,3,3,4,7,6,5,5,2,6
KE,3.846153846,Africa,1,6,7,7,7,7,7,1,7,1,6
TN,4.076923077,Africa,2,5,6,6,7,4,6,2,4,2,5
ZA,4.076923077,Africa,7,5,6,5,7,5,7,6,6,1,6
UG,4.307692308,Africa,1,6,5,1,5,7,1,7,5,1,4
DZ,4.307692308,Africa,6,5,3,7,7,7,4,7,7,4,5
EG,3.576923077,Africa,3,7,5,7,6,2,1,1,1,4,6
EG,3.115384615,Africa,5,2,6,3,7,2,6,2,5,2,2
ET,4.038461538,Africa,3,7,7,1,6,5,3,5,7,2,7
