Stress,CESD,N,E,O,A,C,sex
18,0,48.71 ,45.09 ,54.98 ,31.16 ,50.23 ,1
38,36,85.01 ,48.00 ,47.69 ,21.44 ,33.40 ,1
26,17,62.16 ,33.47 ,46.03 ,42.41 ,39.25 ,1
25,9,64.75 ,48.69 ,36.62 ,47.89 ,39.11 ,1
9,9,49.55 ,51.21 ,42.49 ,43.99 ,38.76 ,1
16,7,61.26 ,36.36 ,60.12 ,44.59 ,49.27 ,1
12,10,53.48 ,50.18 ,65.47 ,46.04 ,43.32 ,1
24,22,56.85 ,33.24 ,32.37 ,53.66 ,54.75 ,1
18,8,52.31 ,48.45 ,65.14 ,51.85 ,49.68 ,1
12,3,47.03 ,46.04 ,51.40 ,34.75 ,52.55 ,1
17,9,45.21 ,33.32 ,41.03 ,59.01 ,44.11 ,1
14,5,55.50 ,46.19 ,60.26 ,48.13 ,37.44 ,1
18,12,62.51 ,41.64 ,41.67 ,42.51 ,36.59 ,1
15,4,46.60 ,48.35 ,34.47 ,46.53 ,45.22 ,1
14,8,67.84 ,36.49 ,47.62 ,60.49 ,39.16 ,1
11,10,58.02 ,51.22 ,46.81 ,63.62 ,48.57 ,1
11,6,49.55 ,52.99 ,43.77 ,50.64 ,58.23 ,1
19,21,62.20 ,42.50 ,65.28 ,33.07 ,49.21 ,1
13,1,44.25 ,54.61 ,68.13 ,49.69 ,44.55 ,1
18,10,59.59 ,33.95 ,36.38 ,46.46 ,51.19 ,1
11,11,44.08 ,46.01 ,55.61 ,51.99 ,53.59 ,1
18,20,70.82 ,49.70 ,62.22 ,44.59 ,25.50 ,1
27,11,53.36 ,47.89 ,64.24 ,44.31 ,42.61 ,1
31,22,72.97 ,29.34 ,60.64 ,45.98 ,32.12 ,1
11,9,46.38 ,33.51 ,41.57 ,68.62 ,37.63 ,1
18,11,48.65 ,29.67 ,53.58 ,55.70 ,48.72 ,1
19,21,65.38 ,34.07 ,56.82 ,57.47 ,35.67 ,1
18,8,57.20 ,50.80 ,61.81 ,46.12 ,39.76 ,1
16,9,49.69 ,37.14 ,59.87 ,55.79 ,28.75 ,1
17,13,60.24 ,46.72 ,65.06 ,68.66 ,46.32 ,1
20,9,49.89 ,41.47 ,49.95 ,48.15 ,42.56 ,1
25,19,62.34 ,35.33 ,33.08 ,38.61 ,34.46 ,1
21,13,49.50 ,38.60 ,46.13 ,59.71 ,49.41 ,1
16,17,52.64 ,51.41 ,38.14 ,57.51 ,36.59 ,1
16,12,58.60 ,43.75 ,42.38 ,53.91 ,46.83 ,1
23,15,64.09 ,38.47 ,38.54 ,42.01 ,19.79 ,1
12,0,45.88 ,54.79 ,59.71 ,40.28 ,53.45 ,1
9,9,46.75 ,50.48 ,62.04 ,57.60 ,52.50 ,1
14,6,59.29 ,53.08 ,54.43 ,38.51 ,39.89 ,1
12,8,69.47 ,35.49 ,47.50 ,42.99 ,25.79 ,1
27,13,47.47 ,47.65 ,54.06 ,38.31 ,26.05 ,1
19,5,45.10 ,47.63 ,73.47 ,42.21 ,46.19 ,1
14,16,50.73 ,34.30 ,69.22 ,38.69 ,34.56 ,1
11,6,50.99 ,42.93 ,51.57 ,40.59 ,36.17 ,1
22,13,55.56 ,51.08 ,50.65 ,46.28 ,42.75 ,1
16,26,72.91 ,39.05 ,55.68 ,36.44 ,23.05 ,1
9,6,57.00 ,40.26 ,43.79 ,49.96 ,31.31 ,1
11,8,55.66 ,51.37 ,53.07 ,50.26 ,52.29 ,1
21,6,48.84 ,56.10 ,71.61 ,40.50 ,42.51 ,1
25,17,56.96 ,40.75 ,51.76 ,48.17 ,44.98 ,1
10,7,45.32 ,58.84 ,57.49 ,57.37 ,43.51 ,1
34,26,59.06 ,50.58 ,58.61 ,48.00 ,48.16 ,1
16,11,60.13 ,39.76 ,45.71 ,44.56 ,39.94 ,1
18,9,36.87 ,58.05 ,53.55 ,78.07 ,51.81 ,1
16,1,46.49 ,50.96 ,43.89 ,61.44 ,53.48 ,1
10,9,38.62 ,41.94 ,53.90 ,48.09 ,45.96 ,1
20,5,64.80 ,32.16 ,34.75 ,49.85 ,36.60 ,1
27,13,60.06 ,34.45 ,34.47 ,61.05 ,47.14 ,1
19,14,66.24 ,49.49 ,39.27 ,48.07 ,36.78 ,1
16,3,49.95 ,34.94 ,49.80 ,51.40 ,39.19 ,1
17,14,74.34 ,43.46 ,42.75 ,46.19 ,34.14 ,1
14,9,42.43 ,60.12 ,65.88 ,51.61 ,51.53 ,1
17,14,58.21 ,53.40 ,67.85 ,69.07 ,36.85 ,1
15,9,62.68 ,34.65 ,45.64 ,42.52 ,46.83 ,1
16,10,65.13 ,47.77 ,55.25 ,27.13 ,40.26 ,1
11,9,49.11 ,51.72 ,48.99 ,59.36 ,38.70 ,1
14,9,52.29 ,41.11 ,60.40 ,59.37 ,36.92 ,1
12,10,58.36 ,52.15 ,61.94 ,38.81 ,32.95 ,1
20,22,76.24 ,21.58 ,22.01 ,51.89 ,50.54 ,1
14,8,60.43 ,45.14 ,57.73 ,53.97 ,35.57 ,1
11,8,48.73 ,34.09 ,42.31 ,61.56 ,36.35 ,1
13,11,62.46 ,53.27 ,51.83 ,63.15 ,47.72 ,1
23,18,60.48 ,35.49 ,35.89 ,37.05 ,35.64 ,1
14,6,42.43 ,42.34 ,53.60 ,61.37 ,39.18 ,1
9,10,52.11 ,60.95 ,46.16 ,42.13 ,49.80 ,1
14,9,36.72 ,45.22 ,52.34 ,44.01 ,48.09 ,1
10,9,52.03 ,43.67 ,39.33 ,68.82 ,50.12 ,1
11,9,38.99 ,49.20 ,44.22 ,49.95 ,54.50 ,1
11,10,51.79 ,45.86 ,57.79 ,57.33 ,41.06 ,1
15,10,54.15 ,41.03 ,50.57 ,76.23 ,35.40 ,1
35,29,58.10 ,33.46 ,36.23 ,50.09 ,35.00 ,1
35,19,50.82 ,48.69 ,67.13 ,66.86 ,44.09 ,1
24,9,52.07 ,49.10 ,45.14 ,42.52 ,41.46 ,1
18,14,58.01 ,47.41 ,58.45 ,49.84 ,43.60 ,1
23,9,44.24 ,24.04 ,38.79 ,53.67 ,38.66 ,1
26,18,59.88 ,28.89 ,71.83 ,51.51 ,46.21 ,1
11,0,59.19 ,49.67 ,47.92 ,36.89 ,43.67 ,1
16,17,57.25 ,39.24 ,48.99 ,36.88 ,48.50 ,1
25,25,77.44 ,43.61 ,49.80 ,44.47 ,41.99 ,1
9,0,53.23 ,38.01 ,39.59 ,45.87 ,38.21 ,1
17,3,53.05 ,51.81 ,66.41 ,36.91 ,57.69 ,1
20,25,63.45 ,53.50 ,60.20 ,31.20 ,40.15 ,1
11,9,39.60 ,56.02 ,54.97 ,51.43 ,49.35 ,1
15,13,52.07 ,45.05 ,73.17 ,53.83 ,41.36 ,1
28,9,57.94 ,44.18 ,44.02 ,36.66 ,44.36 ,1
14,10,55.51 ,34.25 ,35.44 ,63.08 ,39.80 ,1
19,12,53.72 ,46.76 ,61.12 ,48.00 ,32.64 ,1
16,10,59.21 ,44.80 ,54.16 ,61.36 ,35.90 ,1
27,19,68.39 ,25.23 ,46.84 ,53.87 ,46.22 ,1
10,9,50.96 ,44.94 ,64.69 ,55.49 ,52.28 ,1
14,9,61.40 ,38.77 ,66.39 ,55.71 ,45.89 ,1
37,32,63.26 ,32.02 ,82.48 ,49.93 ,37.14 ,1
33,9,65.00 ,59.03 ,65.26 ,59.31 ,40.38 ,1
14,9,53.75 ,48.59 ,56.41 ,51.63 ,49.20 ,1
12,8,44.20 ,27.43 ,45.95 ,44.32 ,59.49 ,1
17,8,63.80 ,44.26 ,52.35 ,55.48 ,35.20 ,1
9,9,51.78 ,56.54 ,75.18 ,51.86 ,31.55 ,1
10,9,40.26 ,53.15 ,53.09 ,57.64 ,51.16 ,1
17,10,50.23 ,54.69 ,66.51 ,48.50 ,44.80 ,1
16,9,57.90 ,29.24 ,37.12 ,61.01 ,46.15 ,1
39,27,60.56 ,21.01 ,37.07 ,53.69 ,32.45 ,1
23,15,75.33 ,45.93 ,39.52 ,25.23 ,36.87 ,1
30,20,56.52 ,45.92 ,33.22 ,47.73 ,40.71 ,1
19,18,49.19 ,52.44 ,57.68 ,57.51 ,46.79 ,1
