"","title","type","year","rating","imdb_score","decade","genre"
"1","Game of Thrones","TV",2011,"R/TV-MA",9.3,"2010-2019","Fantasy"
"2","Rick and Morty","TV",2013,"R/TV-MA",9.2,"2010-2019","Comedy"
"3","The Lord of the Rings: The Fellowship of the Ring","Movie/Other",2001,"PG-13/TV-14",8.8,"2000-2009","Sci-Fi"
"4","Fight Club","Movie/Other",1999,"R/TV-MA",8.8,"1990-1999","Drama"
"5","The Lord of the Rings: The Two Towers","Movie/Other",2002,"PG-13/TV-14",8.7,"2000-2009","Fantasy"
"6","The Lord of the Rings: The Return of the King","Movie/Other",2003,"PG-13/TV-14",8.9,"2000-2009","Sci-Fi"
"7","Spirited Away","Movie/Other",2001,"PG/TV-PG",8.6,"2000-2009","Anime"
"8","Alien","Movie/Other",1979,"R/TV-MA",8.4,"1970-1979","Cult"
"9","Chernobyl","TV",2019,"R/TV-MA",9.4,"2010-2019","Thriller"
"10","Good Will Hunting","Movie/Other",1997,"R/TV-MA",8.3,"1990-1999","Drama"
"11","Die Hard","Movie/Other",1988,"R/TV-MA",8.2,"1980-1989","Thriller"
"12","Joker","Movie/Other",2019,"R/TV-MA",8.5,"2010-2019","Crime"
"13","Aliens","Movie/Other",1986,"R/TV-MA",8.3,"1980-1989","Action/Adventure"
"14","Friends","TV",1994,"PG-13/TV-14",8.9,"1990-1999","Romance"
"15","Apocalypse Now","Movie/Other",1979,"R/TV-MA",8.4,"1970-1979","Horror"
"16","Once Upon a Time in the West","Movie/Other",1968,"PG-13/TV-14",8.5,"1960-1969","Action/Adventure"
"17","The Wire","TV",2002,"R/TV-MA",9.3,"2000-2009","Thriller"
"18","Harry Potter and the Deathly Hallows: Part 2","Movie/Other",2011,"PG-13/TV-14",8.1,"2010-2019","Drama"
"19","Casablanca","Movie/Other",1942,"PG/TV-PG",8.5,"1940-1949","Drama"
"20","Ford v Ferrari","Movie/Other",2019,"PG-13/TV-14",8.1,"2010-2019","Biography"
"21","Amélie","Movie/Other",2001,"R/TV-MA",8.3,"2000-2009","Comedy"
"22","2001: A Space Odyssey","Movie/Other",1968,"G/TV-G",8.3,"1960-1969","Mystery"
"23","Band of Brothers","TV",2001,"R/TV-MA",9.4,"2000-2009","Drama"
"24","Jaws","Movie/Other",1975,"PG/TV-PG",8,"1970-1979","Horror"
"25","Full Metal Jacket","Movie/Other",1987,"R/TV-MA",8.3,"1980-1989","Drama"
"26","Casino Royale","Movie/Other",2006,"PG-13/TV-14",8,"2000-2009","Action/Adventure"
"27","Casino Royale","Movie/Other",2006,"PG-13/TV-14",8,"2000-2009","Action/Adventure"
"28","The Sopranos","TV",1999,"R/TV-MA",9.2,"1990-1999","Crime"
"29","Princess Mononoke","Movie/Other",1997,"PG-13/TV-14",8.4,"1990-1999","Fantasy"
"30","Westworld","TV",2016,"R/TV-MA",8.7,"2010-2019","Mystery"
"31","Requiem for a Dream","Movie/Other",2000,"R/TV-MA",8.3,"2000-2009","Drama"
"32","Slumdog Millionaire","Movie/Other",2008,"R/TV-MA",8,"2000-2009","Romance"
"33","My Neighbor Totoro","Movie/Other",1988,"PG/TV-PG",8.2,"1980-1989","Anime"
"34","Wonder Woman","Movie/Other",2017,"PG-13/TV-14",7.4,"2010-2019","Action/Adventure"
"35","Wonder Woman","Movie/Other",2017,"PG-13/TV-14",7.4,"2010-2019","Action/Adventure"
"36","Wonder Woman","Movie/Other",2009,"PG-13/TV-14",7.3,"2000-2009","Action/Adventure"
"37","Wonder Woman","Movie/Other",2009,"PG-13/TV-14",7.3,"2000-2009","Action/Adventure"
"38","Braveheart","Movie/Other",1995,"R/TV-MA",8.3,"1990-1999","Drama"
"39","Harry Potter and the Prisoner of Azkaban","Movie/Other",2004,"PG/TV-PG",7.9,"2000-2009","Family"
"40","Citizen Kane","Movie/Other",1941,"PG/TV-PG",8.3,"1940-1949","Drama"
"41","La La Land","Movie/Other",2016,"PG-13/TV-14",8,"2010-2019","Drama"
"42","True Detective","TV",2014,"R/TV-MA",9,"2010-2019","Drama"
"43","Harry Potter and the Philosopher's Stone","Movie/Other",2001,"PG/TV-PG",7.6,"2000-2009","Fantasy"
"44","Prisoners","Movie/Other",2013,"R/TV-MA",8.1,"2010-2019","Crime"
"45","Howl's Moving Castle","Movie/Other",2004,"PG/TV-PG",8.2,"2000-2009","Action/Adventure"
"46","Rush","Movie/Other",2013,"R/TV-MA",8.1,"2010-2019","Sport"
"47","X-Men: First Class","Movie/Other",2011,"PG-13/TV-14",7.7,"2010-2019","Action/Adventure"
"48","Million Dollar Baby","Movie/Other",2004,"PG-13/TV-14",8.1,"2000-2009","Drama"
"49","Fullmetal Alchemist: Brotherhood","TV",2009,"R/TV-MA",9.1,"2000-2009","Action/Adventure"
"50","The Wizard of Oz","Movie/Other",1939,"G/TV-G",8,"1930-1939","Family"
"51","South Park","TV",1997,"R/TV-MA",8.7,"1990-1999","Animation"
"52","The Big Bang Theory","TV",2007,"PG-13/TV-14",8.1,"2000-2009","Comedy"
"53","Cinema Paradiso","Movie/Other",1988,"PG/TV-PG",8.5,"1980-1989","Drama"
"54","Gran Torino","Movie/Other",2008,"R/TV-MA",8.1,"2000-2009","Drama"
"55","Cast Away","Movie/Other",2000,"PG-13/TV-14",7.8,"2000-2009","Drama"
"56","Singin' in the Rain","Movie/Other",1952,"G/TV-G",8.3,"1950-1959","Romance"
"57","BlacKkKlansman","Movie/Other",2018,"R/TV-MA",7.5,"2010-2019","History"
"58","Titanic","Movie/Other",1997,"PG-13/TV-14",7.8,"1990-1999","Drama"
"59","The Lego Movie","Movie/Other",2014,"PG/TV-PG",7.7,"2010-2019","Comedy"
"60","Modern Times","Movie/Other",1936,"G/TV-G",8.5,"1930-1939","Romance"
"61","John Wick: Chapter 3 - Parabellum","Movie/Other",2019,"R/TV-MA",7.5,"2010-2019","Thriller"
"62","Gone with the Wind","Movie/Other",1939,"G/TV-G",8.1,"1930-1939","Drama"
"63","The Great Dictator","Movie/Other",1940,"G/TV-G",8.4,"1940-1949","Comedy"
