id,PCOMP,APPEAR,PARENT,TEACH,MATE,FRIEND,MOTIV,GSW,PSW,AFFECT
1001,3.75,4,4,4,3.4,4,2.8,4,4,3
1002,2.75,2.75,3.8,3.4,3.8,4,3,3,3,2.33
1003,2.25,3.5,2.2,3.2,3.6,4,2.4,4,3,2
1004,3.5,3,3.6,3.6,3.6,4,3.4,3.25,3.2,3
1005,3.75,3,3.8,2.6,3.2,2.2,3.6,3.25,3,4
1006,2.25,2.25,4,4,4,4,2.8,3,2.2,3
1007,1.25,1,3.6,3,3,3.8,1.8,1.5,1,2
1008,2.25,2.25,3.8,4,3.6,3.8,2.6,3.5,2.2,3.33
1009,2.75,2.5,3,3,2.8,3.2,2.4,2.75,2.6,2
1010,2.25,3.5,4,4,4,4,3.2,4,2.6,1.67
1011,1.5,4,3.2,2.6,3.4,3,3.8,3.75,1.4,1
1012,3,2.75,3.6,3.4,3,4,3,3.5,2.8,2.33
1013,3.25,4,3.8,3,3,3.6,3,3.75,3,4
1014,3.75,3,3.8,2.8,3.6,3,4,3.75,3,3.33
1015,1.75,3,3,4,3.2,3.8,2.2,3.5,3,3
1016,2.75,2.5,4,1.8,2.8,4,3.6,2.75,2.6,1
1017,2.25,2.25,3,3.8,2.2,3.8,2.8,2.75,2.8,3.67
1018,2.25,3.25,3,2.6,2.6,2.4,2.4,3.5,2.8,1.33
1019,1.25,1.75,3.8,3.6,2.2,4,2,1.75,2,2.67
1020,2.75,3,2.4,2.8,3,3,2.8,3,3,3
1021,3.25,1.25,2.4,2,2.8,2.6,2.6,3.75,3,2.33
1022,4,3.75,3.2,3.6,3.8,3.4,2.8,4,4,4
1023,3.5,3,2.8,3,2.6,1.8,2.6,3,3.2,1.67
1024,2.75,3,3.4,3,2.6,3,3,3,3,4
1025,3.25,2.75,2,3,3,2.5,.,2.5,2.8,2.67
1026,2.25,2.5,4,3.8,1.6,3.2,3.4,3.25,3.8,3.67
1027,2.75,3,2.4,1.4,1.8,3,2.6,2,2.4,2.67
1028,3.25,3,4,3,3,3,2.8,2.5,3.2,2
1029,1,1.25,3.8,3.2,3.2,2.8,2.4,1.5,1.4,1
1030,3,3.25,3.8,2.6,3,3.2,2.2,3,3.2,2.33
1031,3.25,3.5,2.4,2.4,2.4,2.4,2.4,3,2.8,2.67
1032,4,3.75,4,4,3.8,4,4,3.75,4,4
1033,2.5,2.5,2.8,3.8,3.2,3,2.6,2.75,2.4,1.33
1034,2.5,2.5,3.6,1.8,3,4,2.8,3.25,2.8,2.67
1035,3,2.75,3.8,2.4,3.4,2.8,2.6,3,2.8,2.67
1036,2,2,1,2.6,3.6,4,2.4,2.5,2,1.67
1037,3.25,4,3.2,3,3.8,4,3.4,4,4,2.33
1038,4,3,3.8,2.2,3,4,3.6,3.75,3.4,4
1039,3.75,3.75,3.8,4,3.8,4,3.2,4,4,3
1040,1,1,1.8,1.4,1,1,1.6,1,1.2,1
1041,2.75,3.5,3.4,3.2,3.4,4,3,4,3,1
1042,2.25,3.5,3.8,3,3,3.4,3.2,4,2.6,1.67
1043,2,1.25,2.6,2.6,2.6,2.8,2,2,2,2
1044,2.5,2,2.4,2.2,2.2,2.4,2.2,2.5,1.8,2.33
1045,4,3,1.2,3.8,3,4,3.6,2.5,3.4,4
1046,3.75,3,3.2,3,3.2,3,2,3.5,2.4,3.67
1047,2,2.5,1,1,2.2,2.8,2,2.5,2.2,1
1048,3,2.75,3.4,2.6,3.8,4,2.4,4,3,2.67
1049,1.75,1.25,4,1.6,3.2,2.4,2.6,2.5,1.2,2
1050,2.5,3.5,3.6,3,3.2,3,2.4,3,3,2.67
1051,4,3.25,2.8,3,2.2,2.8,3.8,2.75,3.2,4
1052,2.25,4,3.6,4,3.6,4,3,4,4,1
1053,2.25,4,3.8,3.2,3.2,3.2,2.4,3.5,3.2,2
1054,2.5,2.25,3,2.6,3.6,4,2.6,3,2.2,3.67
1055,3.25,2.25,2.8,3,3.2,3.2,2.8,3,3,3
1056,3.25,3.25,2.8,2.8,3.2,2.8,2.8,3,3,3
1057,2.75,3,2.8,2.8,2.6,3.2,2.6,3,3,2.67
1058,1.75,2.25,2.8,2.6,3.4,4,2.8,2.25,2,3
1059,3.25,4,2.6,2.8,3.4,2.6,2.4,4,3.8,3
1060,2,3,2.8,2.8,3.6,2.8,2.4,3,3.2,2.67
1061,3.25,2,2.6,2.6,2.6,2.4,2.8,3,2.6,2
1062,1.25,2.25,2.2,3,3.4,3.2,2.4,3,2.2,1
1063,2.5,3,2.8,3.2,3.8,3,3,3.75,4,4
1064,2.25,2.25,3.2,2.4,2.2,2.2,2.2,2.75,2.6,3
1065,4,4,4,3,4,4,3.6,4,4,3
1066,3.5,2.75,3.2,2.6,2.4,2.6,3,3.75,3,3.33
1067,2,4,2.8,3.8,3.4,4,2.2,3.5,2.6,2
1068,1,1,3,3.4,3.6,3.6,1.6,1.25,1,1
1069,4,3.5,3.8,3.4,4,3.4,2.8,4,3.2,3.33
1070,2.25,2.5,3.4,3.2,3.2,3.2,2.8,3,2.8,3
1071,2,1,3.4,2.4,2.6,2.6,2,2,1.4,3
1072,3.75,4,3.2,3.6,3.4,3.2,2.6,3.5,3.6,3.67
1073,1.25,1.75,2.4,2.4,3.2,4,3,2.75,2,1
1074,1.75,2,1.6,3.8,2.2,3,2.2,2,1.8,1.67
1075,2,2.75,3.33,3,2.75,3.75,2.75,3,2.2,2
1076,2,3,2,1.6,4,4,2.8,3,2.5,3
1077,3,1.5,2.4,3.6,2.6,3,2.4,3,3.4,2.67
1078,2.75,3.75,3,3,2.5,1,.,3,1.6,1.33
1079,3.75,3.75,2.6,2.8,4,3.2,.,3.5,3.8,1
1080,4,3.5,3.4,3.8,4,4,.,4,4,4
1082,2.25,2,2,2,2,3,.,2.5,2.4,2
1084,3.5,3.25,2.8,3.8,3.4,3.2,2.8,4,3.8,4
1085,2,2,3,3.2,3,3.2,2.6,2.5,2.2,3
1086,3,1.75,2.2,3.4,2.8,1.2,3.6,2.75,3.4,4
1087,2.25,2,2,.,1,3,.,1.5,2.8,3.33
1088,2.75,2.75,1,2,2.8,3.6,3,2.75,2.8,3
1089,3.5,3.75,3.6,3.4,3.2,3.4,2.8,3.5,3.6,3.67
1090,3,2.25,4,4,4,3,3.4,3.5,2.6,3
