id,female ,day,interested,irritable,distressed,alert,excited,ashamed,upset,inspired,strong,nervous,guilty,determined,scared,attentive,hostile,jittery,enthusiastic,active,proud,afraid
1,0,1,2,4,2,2,2,1,4,1,1,4,1,1,3,1,4,1,1,1,2,3
2,0,2,3,1,2,2,3,1,4,1,1,1,1,3,3,3,1,1,4,2,3,2
3,0,3,4,1,4,1,4,1,1,2,2,1,1,4,1,3,1,1,4,4,3,1
4,0,4,5,1,3,3,5,1,1,4,2,2,1,4,1,4,1,2,5,5,4,1
5,0,5,2,2,3,1,1,1,3,1,1,1,1,2,2,2,1,1,1,2,1,2
6,0,6,3,1,2,1,3,1,2,2,1,1,1,3,1,3,1,1,3,3,4,1
7,0,7,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
8,0,8,3,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1
9,0,9,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,0,10,3,2,1,1,3,1,1,3,2,2,1,3,1,2,1,1,3,3,2,2
11,0,11,3,2,2,1,2,1,1,2,2,1,1,3,1,2,2,1,3,3,1,1
12,0,12,3,2,1,2,3,1,1,2,2,1,1,3,2,2,1,1,3,3,1,1
13,0,13,3,3,2,2,3,1,1,2,2,1,1,4,1,2,3,1,3,3,3,2
14,0,14,4,1,1,1,4,1,1,3,3,2,1,4,2,3,1,1,3,4,3,2
15,0,15,4,1,1,1,5,2,1,3,4,1,1,3,1,4,1,1,4,3,3,1
16,0,16,5,2,1,1,5,1,1,2,4,1,1,4,1,3,2,1,4,4,3,1
17,0,17,3,1,1,1,3,1,1,3,3,1,1,4,1,2,1,1,3,4,2,1
18,0,18,4,1,1,2,4,1,1,4,4,1,1,4,1,3,1,1,5,5,3,1
19,0,19,4,1,1,2,5,1,1,4,3,1,1,4,1,4,1,1,5,4,4,1
20,0,20,3,1,2,2,3,1,1,2,3,1,1,2,1,1,1,1,3,3,3,1
21,0,21,4,1,2,2,3,1,2,3,2,1,1,3,1,2,1,1,3,2,2,1
22,0,22,4,3,3,2,4,1,3,1,2,1,2,3,1,2,3,1,4,4,2,1
23,0,23,3,2,1,2,3,1,1,3,2,1,1,3,2,3,1,1,3,2,3,2
24,0,24,2,1,3,1,2,1,2,2,2,2,1,3,3,2,1,1,1,2,2,3
25,0,25,3,2,1,1,3,1,1,2,2,1,1,3,1,3,1,1,2,2,2,2
26,0,26,3,4,4,3,2,1,3,2,2,2,2,3,1,1,3,1,2,2,2,1
27,0,27,3,2,4,2,2,1,2,3,1,2,1,3,2,2,2,1,3,3,2,2
28,0,28,4,1,1,2,3,1,1,3,2,1,1,3,1,3,2,1,3,3,2,1
29,0,29,4,1,1,1,3,1,1,3,3,1,2,4,1,3,1,1,4,3,2,1
30,0,30,3,1,1,3,3,1,1,2,3,1,1,3,1,3,1,1,4,3,3,1
31,0,31,4,1,1,2,3,1,1,4,4,1,1,4,1,3,1,2,4,5,4,1
32,0,32,4,1,1,2,4,1,2,3,4,1,1,4,1,3,2,2,4,4,3,1
33,0,33,4,1,1,2,3,1,1,2,3,1,1,3,1,2,1,1,3,4,3,1
34,0,34,3,2,1,2,2,1,4,2,1,1,1,3,3,2,2,1,3,2,2,3
35,0,35,1,3,5,3,1,1,4,1,1,3,1,1,4,1,3,1,1,1,1,4
36,0,36,5,1,3,1,5,1,2,3,4,2,1,5,2,3,1,3,5,5,3,2
37,0,37,3,1,4,1,2,1,2,1,1,3,1,2,3,3,1,1,2,2,2,3
38,0,38,3,1,2,2,3,1,1,2,2,1,1,3,1,2,1,1,3,2,3,2
39,0,39,2,1,3,2,2,1,3,2,1,1,1,2,2,2,1,1,2,4,1,2
40,0,40,4,1,1,2,3,1,1,3,4,1,1,4,1,2,1,1,3,5,2,2
41,0,41,4,1,1,1,4,1,1,2,3,1,1,3,1,3,1,1,3,3,1,1
42,0,42,4,1,1,2,4,1,1,3,3,1,1,4,2,2,2,1,4,5,3,1
43,0,43,3,2,2,2,4,1,2,1,3,1,2,4,1,3,2,2,4,4,3,1
44,0,44,4,1,1,1,4,1,1,3,3,1,1,4,1,3,1,1,4,4,3,1
45,0,45,3,1,4,2,2,1,5,2,2,2,2,3,3,3,1,1,2,3,2,2
46,0,46,4,4,2,2,3,2,3,3,2,3,1,4,2,2,2,1,4,2,3,2
47,0,47,3,1,2,1,2,1,1,2,2,1,1,3,1,3,1,1,3,2,2,1
48,0,48,4,1,2,2,3,1,1,4,3,2,1,3,1,3,1,1,3,3,3,1
49,0,49,4,1,1,2,4,1,1,3,3,1,1,3,1,3,1,2,3,3,2,1
50,0,50,4,2,3,2,3,2,4,2,3,1,2,3,1,2,2,1,4,3,2,1
51,0,51,3,4,3,2,3,2,2,3,3,1,2,4,1,2,2,1,3,4,1,1
52,0,52,4,1,1,1,3,1,1,3,4,1,1,5,1,3,1,1,4,5,2,1
53,0,53,4,1,1,2,4,2,1,3,4,1,1,4,1,3,1,1,4,4,3,1
54,0,54,4,1,1,2,4,2,1,3,3,1,1,4,1,3,1,1,4,4,3,1
55,0,55,4,1,1,1,4,1,1,3,4,2,1,4,2,3,1,3,4,3,3,1
56,0,56,5,1,1,1,5,1,1,3,4,3,1,4,2,4,1,2,5,4,4,2
