id,age,male,female,pcomp_1,appear_1,motiv_1,pworth_1,gworth_1,parent_1,teach_1,mate_1,friend_1,affect_1,auton_1,pc1_1,pc2_1,pc3_1,pc4_1,mot1_1,mot2_1,mot3_1,mot4_1,mot5_1,psw1_1,psw2_1,psw3_1,psw4_1,ts1_1,ts2_1,ts3_1,ts4_1,ts5_1,enj1_1,enj2_1,enj3_1
1001,13.5,0,1,3.75,4,2.8,4,4,4,4,3.4,4,3,4,4,4,3,4,4,3,1,2,4,4,4,4,4,4,4,4,4,4,3,3,3
1002,14,0,1,2.75,2.75,3,3,3,3.8,3.4,3.8,4,2.33,2.6,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,2,2
1003,14.3,.,.,2.25,3.5,2.4,3,4,2.2,3.2,3.6,4,2,3,2,2,2,3,2,2,2,3,3,3,3,4,2,4,3,4,3,2,2,2,2
1004,15,1,0,3.5,3,3.4,3.2,3.25,3.6,3.6,3.6,4,3,3,3,3,4,4,4,3,3,3,4,3,3,4,3,4,4,4,3,3,3,3,3
1005,14.3,1,0,3.75,3,3.6,3,3.25,3.8,2.6,3.2,2.2,4,1.6,4,4,3,4,4,3,4,4,3,3,3,4,2,3,2,3,2,3,4,4,4
1006,14.4,0,1,2.25,2.25,2.8,2.2,3,4,4,4,4,3,3,2,3,2,2,2,2,3,3,4,3,2,2,2,4,4,4,4,4,3,3,3
1007,14,0,1,1.25,1,1.8,1,1.5,3.6,3,3,3.8,2,2.4,1,1,1,2,2,1,3,1,2,1,1,1,1,4,3,4,3,1,2,2,2
1008,16,0,1,2.25,2.25,2.6,2.2,3.5,3.8,4,3.6,3.8,3.33,3,2,2,3,2,3,1,3,3,3,2,2,3,2,4,4,4,4,4,4,3,3
1009,14.4,0,1,2.75,2.5,2.4,2.6,2.75,3,3,2.8,3.2,2,2.6,3,2,2,4,3,1,3,2,3,3,3,2,1,4,2,3,3,3,3,1,2
1010,14,0,1,2.25,3.5,3.2,2.6,4,4,4,4,4,1.67,3.8,2,2,3,2,4,1,4,3,4,3,2,3,1,4,4,4,4,4,1,2,2
1011,13.7,1,0,1.5,4,3.8,1.4,3.75,3.2,2.6,3.4,3,1,2.6,1,3,1,1,3,4,4,4,4,2,1,2,1,3,1,4,2,3,1,1,1
1012,14.3,0,1,3,2.75,3,2.8,3.5,3.6,3.4,3,4,2.33,2.6,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,2,3,3,2,2
1013,13.9,1,0,3.25,4,3,3,3.75,3.8,3,3,3.6,4,3.8,3,3,3,4,3,1,4,3,4,3,4,3,2,3,3,3,3,3,4,4,4
1014,15.1,1,0,3.75,3,4,3,3.75,3.8,2.8,3.6,3,3.33,4,4,4,3,4,4,4,4,4,4,3,3,3,3,2,3,3,3,3,4,3,3
1015,14.3,0,1,1.75,3,2.2,3,3.5,3,4,3.2,3.8,3,3.4,1,2,2,2,2,2,3,2,2,4,2,4,2,4,4,4,4,4,4,2,3
1016,13.9,1,0,2.75,2.5,3.6,2.6,2.75,4,1.8,2.8,4,1,3,3,2,3,3,3,3,4,4,4,3,2,3,2,1,2,2,2,2,1,1,1
1017,14.5,0,1,2.25,2.25,2.8,2.8,2.75,3,3.8,2.2,3.8,3.67,3.6,4,2,1,2,4,1,4,1,4,4,2,2,3,3,4,4,4,4,4,4,3
1018,13.9,.,.,2.25,3.25,2.4,2.8,3.5,3,2.6,2.6,2.4,1.33,3,2,3,1,3,4,2,1,2,3,2,2,3,3,3,2,3,2,3,1,2,1
1019,14.1,0,1,1.25,1.75,2,2,1.75,3.8,3.6,2.2,4,2.67,2.8,1,1,2,1,3,1,1,1,4,2,3,3,1,2,4,4,4,4,3,2,3
1020,14.6,1,0,2.75,3,2.8,3,3,2.4,2.8,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3
1021,15,1,0,3.25,1.25,2.6,3,3.75,2.4,2,2.8,2.6,2.33,2,3,2,4,4,4,1,3,1,4,3,4,4,2,2,1,2,3,2,3,3,1
1022,14.1,1,0,4,3.75,2.8,4,4,3.2,3.6,3.8,3.4,4,3.4,4,4,4,4,4,1,4,3,2,4,4,4,4,4,4,3,3,4,4,4,4
1023,17.7,1,0,3.5,3,2.6,3.2,3,2.8,3,2.6,1.8,1.67,2.2,4,3,4,3,2,2,3,3,3,4,3,3,3,3,3,3,3,3,2,1,2
1024,13.5,0,1,2.75,3,3,3,3,3.4,3,2.6,3,4,2.8,3,2,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,4,4,4
1025,15.1,1,0,3.25,2.75,.,2.8,2.5,2,3,3,2.5,2.67,.,4,4,3,2,.,.,.,.,.,4,2,1,4,3,3,.,.,.,2,2,4
1026,14.2,1,0,2.25,2.5,3.4,3.8,3.25,4,3.8,1.6,3.2,3.67,2.8,2,2,2,3,4,4,3,3,3,4,4,4,4,3,4,4,4,4,3,4,4
1027,14.4,.,.,2.75,3,2.6,2.4,2,2.4,1.4,1.8,3,2.67,2.2,4,3,3,1,3,2,3,3,2,3,4,2,1,1,1,2,1,2,2,4,2
1028,14.5,1,0,3.25,3,2.8,3.2,2.5,4,3,3,3,2,2.8,4,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,2,2,2
1029,17.4,0,1,1,1.25,2.4,1.4,1.5,3.8,3.2,3.2,2.8,1,3.2,1,1,1,1,3,1,3,3,2,1,2,2,1,3,3,3,3,4,1,1,1
1030,14.2,1,0,3,3.25,2.2,3.2,3,3.8,2.6,3,3.2,2.33,2.8,3,2,4,3,2,1,2,3,3,4,3,3,3,2,3,3,2,3,3,2,2
1031,15,1,0,3.25,3.5,2.4,2.8,3,2.4,2.4,2.4,2.4,2.67,2.4,2,4,4,3,2,3,2,3,2,4,3,2,3,2,3,2,3,2,2,2,4
1032,14.6,1,0,4,3.75,4,4,3.75,4,4,3.8,4,4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1033,13.5,1,0,2.5,2.5,2.6,2.4,2.75,2.8,3.8,3.2,3,1.33,3.4,1,2,4,3,3,2,2,3,3,2,4,2,2,3,4,4,4,4,2,1,1
1034,15.4,1,0,2.5,2.5,2.8,2.8,3.25,3.6,1.8,3,4,2.67,3,3,3,2,2,3,1,4,3,3,3,2,4,2,1,2,3,2,1,3,3,2
1035,15.1,1,0,3,2.75,2.6,2.8,3,3.8,2.4,3.4,2.8,2.67,3.4,4,2,3,3,2,2,3,3,3,3,3,3,3,2,2,3,3,2,2,3,3
1036,15.3,0,1,2,2,2.4,2,2.5,1,2.6,3.6,4,1.67,2.8,1,2,2,3,3,2,2,2,3,2,2,2,2,3,2,2,3,3,2,2,1
1037,14.8,1,0,3.25,4,3.4,4,4,3.2,3,3.8,4,2.33,2.2,4,2,3,4,4,1,4,4,4,4,4,4,4,3,4,3,1,4,2,2,3
1038,14.3,1,0,4,3,3.6,3.4,3.75,3.8,2.2,3,4,4,3,4,4,4,4,4,3,4,3,4,3,4,4,2,2,1,3,2,3,4,4,4
1039,14,0,1,3.75,3.75,3.2,4,4,3.8,4,3.8,4,3,3.2,4,4,3,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3
1040,14.6,0,1,1,1,1.6,1.2,1,1.8,1.4,1,1,1,1.6,1,1,1,1,1,1,1,2,3,2,1,1,1,1,2,1,1,2,1,1,1
1041,17.5,0,1,2.75,3.5,3,3,4,3.4,3.2,3.4,4,1,3.8,3,3,3,2,3,2,3,4,3,4,3,3,2,2,3,3,4,4,1,1,1
1042,14.4,1,0,2.25,3.5,3.2,2.6,4,3.8,3,3,3.4,1.67,2.8,2,2,3,2,3,3,4,3,3,2,3,3,3,3,3,3,2,4,3,1,1
1043,14.8,0,1,2,1.25,2,2,2,2.6,2.6,2.6,2.8,2,2.4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2
1044,14.5,.,.,2.5,2,2.2,1.8,2.5,2.4,2.2,2.2,2.4,2.33,2.2,2,2,3,3,3,1,2,3,2,1,1,2,3,2,2,2,3,2,2,4,1
1045,13.9,0,1,4,3,3.6,3.4,2.5,1.2,3.8,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,2,4,3,4,4,4,4,4,4
1046,13.6,1,0,3.75,3,2,2.4,3.5,3.2,3,3.2,3,3.67,3,4,4,4,3,2,1,2,1,4,3,2,3,1,3,3,4,1,4,4,4,3
1047,13.9,1,0,2,2.5,2,2.2,2.5,1,1,2.2,2.8,1,2.6,2,2,2,2,3,1,3,2,1,2,2,2,3,1,1,1,1,1,1,1,1
1048,13.9,0,1,3,2.75,2.4,3,4,3.4,2.6,3.8,4,2.67,3.2,3,3,3,3,3,3,2,3,1,3,3,3,3,2,3,2,3,3,3,2,3
1049,13.7,1,0,1.75,1.25,2.6,1.2,2.5,4,1.6,3.2,2.4,2,2.2,2,1,2,2,4,2,2,2,3,1,1,2,1,1,3,1,1,2,2,2,2
1050,14.2,1,0,2.5,3.5,2.4,3,3,3.6,3,3.2,3,2.67,2.4,3,2,3,2,3,1,3,2,3,4,3,3,2,3,3,3,3,3,3,2,3
1051,14.5,1,0,4,3.25,3.8,3.2,2.75,2.8,3,2.2,2.8,4,3.6,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,2,3,3,4,4,4
1052,13.9,0,1,2.25,4,3,4,4,3.6,4,3.6,4,1,3.6,3,2,3,1,3,1,4,3,4,4,4,4,4,4,4,4,4,4,1,1,1
1053,13.6,1,0,2.25,4,2.4,3.2,3.5,3.8,3.2,3.2,3.2,2,2.6,2,2,2,3,2,2,2,3,3,3,4,3,3,3,3,3,3,4,2,2,2
1054,13.9,0,1,2.5,2.25,2.6,2.2,3,3,2.6,3.6,4,3.67,2.6,3,3,2,2,4,1,3,2,3,3,2,2,2,1,2,3,4,3,4,3,4
1055,13.6,0,1,3.25,2.25,2.8,3,3,2.8,3,3.2,3.2,3,2,4,3,3,3,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1056,13.6,1,0,3.25,3.25,2.8,3,3,2.8,2.8,3.2,2.8,3,2.4,3,3,3,4,3,2,3,3,3,3,3,3,3,3,2,4,2,3,3,3,3
1057,14.1,1,0,2.75,3,2.6,3,3,2.8,2.8,2.6,3.2,2.67,2.4,3,3,2,3,3,2,3,2,3,3,3,3,3,3,1,4,3,3,3,3,2
1058,14.3,0,1,1.75,2.25,2.8,2,2.25,2.8,2.6,3.4,4,3,3,1,2,2,2,3,2,3,3,3,2,1,3,3,2,2,4,2,3,3,3,3
1059,14.5,1,0,3.25,4,2.4,3.8,4,2.6,2.8,3.4,2.6,3,2.8,3,3,3,4,3,3,2,2,2,3,4,4,4,3,2,3,3,3,4,2,3
1060,14.9,0,1,2,3,2.4,3.2,3,2.8,2.8,3.6,2.8,2.67,2.8,2,2,2,2,3,1,2,3,3,3,3,4,3,2,3,3,3,3,3,2,3
1061,13.6,1,0,3.25,2,2.8,2.6,3,2.6,2.6,2.6,2.4,2,2.4,4,3,3,3,3,3,2,3,3,4,2,2,2,3,2,4,1,3,2,2,2
1062,14.3,0,1,1.25,2.25,2.4,2.2,3,2.2,3,3.4,3.2,1,2.4,2,1,1,1,2,1,3,3,3,2,2,3,2,4,2,3,2,4,1,1,1
1063,14,1,0,2.5,3,3,4,3.75,2.8,3.2,3.8,3,4,3.2,1,2,3,4,4,2,3,3,3,4,4,4,4,1,4,3,4,4,4,4,4
1064,13.5,1,0,2.25,2.25,2.2,2.6,2.75,3.2,2.4,2.2,2.2,3,2.8,2,2,3,2,3,1,2,2,3,2,2,3,3,2,2,3,2,3,3,3,3
1065,14.5,1,0,4,4,3.6,4,4,4,3,4,4,3,2.2,4,4,4,4,4,3,4,3,4,4,4,4,4,2,4,3,3,3,3,3,3
1066,13.7,1,0,3.5,2.75,3,3,3.75,3.2,2.6,2.4,2.6,3.33,2.6,4,2,4,4,4,4,4,1,2,4,3,2,4,1,2,4,3,3,4,3,3
1067,14.5,.,.,2,4,2.2,2.6,3.5,2.8,3.8,3.4,4,2,3,3,2,2,1,3,1,3,2,2,3,3,2,3,4,4,4,3,4,2,2,2
1068,14.1,0,1,1,1,1.6,1,1.25,3,3.4,3.6,3.6,1,2.8,1,1,1,1,1,2,1,3,1,1,1,1,1,3,3,4,3,4,1,1,1
1069,13.5,0,1,4,3.5,2.8,3.2,4,3.8,3.4,4,3.4,3.33,2.8,4,4,4,4,4,1,1,4,4,3,1,4,4,3,4,3,3,4,4,3,3
1070,14.5,0,1,2.25,2.5,2.8,2.8,3,3.4,3.2,3.2,3.2,3,2.8,4,2,2,1,3,3,3,2,3,3,3,3,2,3,3,3,3,4,3,3,3
1071,13.9,0,1,2,1,2,1.4,2,3.4,2.4,2.6,2.6,3,2.8,2,2,2,2,3,2,2,1,2,2,1,2,1,1,3,2,3,3,3,3,3
