id,pc1,pc2,pc3,pc4,mot1,mot2,mot3,mot4,pc1_1,pc2_1,pc3_1,pc4_1,mot1_1,mot2_1,mot3_1,mot4_1,mot5_1,pc1_2,pc2_2,pc3_2,pc4_2,mot1_2,mot2_2,mot3_2,mot4_2,mot5_2,pc1_3,pc2_3,pc3_3,pc4_3,mot1_3,mot2_3,mot3_3,mot4_3,mot5_3,pc1_4,pc2_4,pc3_4,pc4_4,mot1_4,mot2_4,mot3_4,mot4_4,mot5_4,male,female
1001,3.75,4,4,4,2.8,3.6,3.6,3.6,4,4,3,4,4,3,1,2,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,3,4,0,1
1002,2.75,2.75,3,3.75,3,3.4,3.2,3.6,3,2,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,4,3,3,3,3,4,3,2,3,4,4,3,4,4,3,3,4,4,4,0,1
1003,2.25,.,.,.,2.4,.,.,.,2,2,2,3,2,2,2,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1004,3.5,3.25,3.5,3.75,3.4,3.2,3.4,3.4,3,3,4,4,4,3,3,3,4,3,3,3,4,3,3,3,3,4,3,3,4,4,3,3,4,4,3,3,4,4,4,4,3,4,3,3,1,0
1005,3.75,3.5,3.5,3,3.6,3.4,3.2,3.6,4,4,3,4,4,3,4,4,3,4,4,3,3,4,3,4,3,3,3,4,3,4,3,3,4,3,3,3,3,3,3,4,3,4,3,4,1,0
1006,2.25,2.75,2.25,2.25,2.8,3.2,3,3,2,3,2,2,2,2,3,3,4,3,2,3,3,3,2,4,3,4,2,2,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,0,1
1007,1.25,1.75,1.75,2,1.8,2.2,1.8,2.2,1,1,1,2,2,1,3,1,2,2,1,2,2,3,2,3,1,2,2,1,2,2,3,1,1,2,2,2,2,2,2,4,2,2,1,2,0,1
1008,2.25,2,.,2.25,2.6,2.6,.,2.4,2,2,3,2,3,1,3,3,3,2,2,2,2,3,2,2,3,3,.,.,.,.,.,.,.,.,.,2,2,3,2,3,2,2,3,2,0,1
1009,2.75,3,3,3,2.4,2.6,2.8,2.8,3,2,2,4,3,1,3,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,1,3,3,3,0,1
1010,2.25,3,3.25,.,3.2,3.2,3.4,.,2,2,3,2,4,1,4,3,4,3,3,3,3,3,2,3,4,4,3,4,4,2,4,1,4,4,4,.,.,.,.,.,.,.,.,.,0,1
1011,1.5,2.25,1.5,1.5,3.8,3.2,3.6,3.8,1,3,1,1,3,4,4,4,4,3,2,2,2,3,2,4,4,3,1,2,2,1,3,4,3,4,4,1,3,1,1,4,3,4,4,4,1,0
1012,3,2.5,2.75,3,3,2.6,2.8,2.8,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2,3,3,3,3,2,4,2,3,2,3,3,3,3,3,3,3,3,2,3,0,1
1013,3.25,3,3,2.75,3,2.8,2.8,2.6,3,3,3,4,3,1,4,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,4,1,3,3,3,3,3,3,2,4,1,3,2,3,1,0
1014,3.75,.,.,4,4,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,1,0
1015,1.75,2.25,2.75,3,2.2,2.4,2.4,2.2,1,2,2,2,2,2,3,2,2,3,3,2,1,4,2,3,2,1,3,3,2,3,3,1,3,2,3,3,3,3,3,3,1,2,3,2,0,1
1016,2.75,3.25,2.5,2.75,3.6,3.8,3.6,3.8,3,2,3,3,3,3,4,4,4,3,3,3,4,4,3,4,4,4,4,2,3,1,4,4,4,4,2,4,1,3,3,4,4,4,4,3,1,0
1017,2.25,3.25,2.5,3,2.8,3.2,3.2,3,4,2,1,2,4,1,4,1,4,2,4,3,4,4,2,4,2,4,3,3,2,2,4,2,4,2,4,3,3,2,4,4,1,4,2,4,0,1
1018,2.25,.,.,.,2.4,.,.,.,2,3,1,3,4,2,1,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1019,1.25,.,1.5,1.5,2,.,3.2,3.2,1,1,2,1,3,1,1,1,4,.,.,.,.,.,.,.,.,.,2,1,2,1,3,2,4,4,3,2,1,2,1,4,2,4,3,3,0,1
1020,2.75,3,2.5,.,2.8,2.6,2.4,.,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,2,3,3,2,2,3,3,1,3,2,3,.,.,.,.,.,.,.,.,.,1,0
1021,3.25,.,3.5,3.5,2.6,.,3,3.4,3,2,4,4,4,1,3,1,4,.,.,.,.,.,.,.,.,.,3,3,4,4,3,3,4,1,4,3,4,3,4,4,4,4,1,4,1,0
1022,4,4,3.75,4,2.8,3.4,3.4,3.8,4,4,4,4,4,1,4,3,2,4,4,4,4,4,2,4,3,4,4,4,3,4,4,3,4,3,3,4,4,4,4,4,3,4,4,4,1,0
1023,3.5,3,3,3.75,2.6,3,3,3,4,3,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,2,4,3,3,1,0
1024,2.75,.,.,.,3,.,.,.,3,2,3,3,3,3,3,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1
1025,3.25,2.5,3.5,3.75,.,3.2,2.6,2.4,4,4,3,2,.,.,.,.,.,4,4,1,1,4,2,3,3,4,4,4,2,4,4,1,3,3,2,4,3,4,4,2,2,3,3,2,1,0
1026,2.25,.,3.5,3,3.4,.,3,3.4,2,2,2,3,4,4,3,3,3,.,.,.,.,.,.,.,.,.,4,4,3,3,4,3,3,2,3,3,3,2,4,4,3,4,2,4,1,0
1027,2.75,.,.,.,2.6,.,.,.,4,3,3,1,3,2,3,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1028,3.25,.,3,3,2.8,2.8,2.6,3,4,3,3,3,3,2,3,3,3,.,.,.,.,3,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,4,2,3,3,3,1,0
1029,1,1.5,.,3,2.4,2.6,.,2.2,1,1,1,1,3,1,3,3,2,2,1,2,1,3,1,3,3,3,.,.,.,.,.,.,.,.,.,3,3,3,3,3,1,2,3,2,0,1
1030,3,3,3,3,2.2,2.6,2.6,2.8,3,2,4,3,2,1,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,1,0
1031,3.25,2.5,.,2.5,2.4,2.6,.,2.2,2,4,4,3,2,3,2,3,2,2,2,3,3,3,2,2,3,3,.,.,.,.,.,.,.,.,.,4,2,1,3,1,3,2,1,4,1,0
1032,4,4,4,4,4,3.2,3.2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,4,4,4,4,4,4,4,3,1,4,4,4,4,4,4,4,4,4,4,4,1,0
1033,2.5,2.5,2.75,3,2.6,2.6,2.2,2.8,1,2,4,3,3,2,2,3,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,2,2,2,2,3,3,2,4,4,2,3,2,3,1,0
1034,2.5,2.5,.,.,2.8,3.2,.,.,3,3,2,2,3,1,4,3,3,3,3,3,1,3,1,4,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
1035,3,3,3,3,2.6,2.6,2.8,3,4,2,3,3,2,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,0
1036,2,2.75,2.5,.,2.4,2.8,2.4,.,1,2,2,3,3,2,2,2,3,2,4,3,2,3,2,3,3,3,2,3,3,2,3,1,3,2,3,.,.,.,.,.,.,.,.,.,0,1
1037,3.25,3.75,3.5,3.25,3.4,2.6,2.8,3,4,2,3,4,4,1,4,4,4,4,3,4,4,3,1,2,4,3,4,3,3,4,4,1,3,3,3,3,3,3,4,4,1,4,3,3,1,0
1038,4,4,4,4,3.6,3.2,3.6,2.2,4,4,4,4,4,3,4,3,4,4,4,4,4,4,2,4,3,3,4,4,4,4,4,3,4,3,4,4,4,4,4,3,1,1,3,3,1,0
1039,3.75,3.75,3.75,3.75,3.2,3.8,3.8,4,4,4,3,4,3,2,3,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,0,1
1040,1,1,1.75,.,1.6,2,1.8,.,1,1,1,1,1,1,1,2,3,1,1,1,1,3,2,1,2,2,3,2,1,1,3,2,1,2,1,.,.,.,.,.,.,.,.,.,0,1
1041,2.75,.,3.25,2.75,3,.,2.8,2.2,3,3,3,2,3,2,3,4,3,.,.,.,.,.,.,.,.,.,3,4,3,3,3,1,3,4,3,3,3,3,2,3,2,1,3,2,0,1
1042,2.25,3,3,3.25,3.2,3.2,3.2,3.2,2,2,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3,3,4,2,4,3,3,1,0
1043,2,2,.,2,2,2.4,.,2.6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,.,.,.,.,.,.,.,.,.,2,2,2,2,3,2,3,2,3,0,1
1044,2.5,.,.,.,2.2,.,.,.,2,2,3,3,3,1,2,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1045,4,.,3.25,3.25,3.6,.,3.2,3.2,4,4,4,4,4,2,4,4,4,.,.,.,.,.,.,.,.,.,3,3,3,4,3,3,4,3,3,3,3,3,4,2,3,3,4,4,0,1
1046,3.75,3.25,3.5,3.25,2,3.6,2.2,3.6,4,4,4,3,2,1,2,1,4,1,4,4,4,4,4,3,3,4,4,3,3,4,3,2,2,2,2,3,3,3,4,4,3,4,3,4,1,0
1047,2,3,2.5,.,2,1.4,1.6,.,2,2,2,2,3,1,3,2,1,3,4,2,3,2,1,1,2,1,2,2,3,3,1,1,2,2,2,.,.,.,.,.,.,.,.,.,1,0
1048,3,2.75,3,3.25,2.4,3,4,3.6,3,3,3,3,3,3,2,3,1,3,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,4,4,3,4,4,3,0,1
1049,1.75,2,2,2,2.6,2.2,2.6,2.8,2,1,2,2,4,2,2,2,3,3,3,1,1,3,2,2,2,2,3,3,1,1,4,2,2,2,3,2,2,2,2,4,3,3,2,2,1,0
1050,2.5,3,.,2.75,2.4,2.4,.,3.2,3,2,3,2,3,1,3,2,3,3,3,3,3,3,1,3,2,3,.,.,.,.,.,.,.,.,.,3,2,3,3,4,3,3,3,3,1,0
1051,4,4,4,3.75,3.8,3.8,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,1,0
1052,2.25,2.5,2.75,3.25,3,3,2.6,2.6,3,2,3,1,3,1,4,3,4,3,3,2,2,3,2,4,4,2,3,3,3,2,3,1,3,3,3,3,3,3,4,3,1,3,3,3,0,1
1053,2.25,2.25,3,3,2.4,2.6,2.8,2.8,2,2,2,3,2,2,2,3,3,2,2,2,3,3,1,3,3,3,3,3,3,3,3,1,3,3,4,3,3,3,3,3,2,3,3,3,1,0
1054,2.5,2,2,2.5,2.6,2.4,2.8,3.4,3,3,2,2,4,1,3,2,3,2,2,2,2,3,1,3,3,2,2,2,2,2,3,2,3,3,3,3,2,2,3,3,2,4,4,4,0,1
1055,3.25,2.75,3.5,3,2.8,2.4,2.2,2.4,4,3,3,3,4,1,3,3,3,3,3,3,2,3,2,3,2,2,4,3,3,4,3,2,2,2,2,3,3,3,3,3,2,3,2,2,0,1
1056,3.25,3,3.25,3.25,2.8,2.4,3.4,3.2,3,3,3,4,3,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,4,4,2,4,3,4,3,3,4,3,4,2,4,3,3,1,0
1057,2.75,3,3,3,2.6,3.4,3.2,2.8,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3,3,1,0
1058,1.75,2.75,2.75,3,2.8,3,3.2,2.8,1,2,2,2,3,2,3,3,3,3,3,3,2,3,2,4,3,3,3,3,3,2,4,2,4,3,3,3,3,3,3,3,2,3,3,3,0,1
1059,3.25,2.75,.,2.25,2.4,2.4,.,2.8,3,3,3,4,3,3,2,2,2,3,3,2,3,3,2,2,2,3,.,.,.,.,.,.,.,.,.,3,2,1,3,3,3,3,3,2,1,0
1060,2,2.25,2.75,2.5,2.4,2.2,2.4,2.2,2,2,2,2,3,1,2,3,3,2,2,3,2,3,1,2,2,3,3,3,3,2,3,1,3,2,3,2,3,3,2,3,1,2,2,3,0,1
1061,3.25,2.5,.,.,2.8,2.4,.,.,4,3,3,3,3,3,2,3,3,3,2,3,2,3,2,2,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
1062,1.25,3,3,2,2.4,2.6,2.4,2.8,2,1,1,1,2,1,3,3,3,2,3,4,3,3,3,3,2,2,3,3,4,2,2,3,2,2,3,2,2,2,2,3,2,3,3,3,0,1
1063,2.5,3,2.75,2.75,3,3,2,2.2,1,2,3,4,4,2,3,3,3,3,2,3,4,4,2,3,4,2,3,2,3,3,3,1,2,2,2,3,1,3,4,4,1,2,2,2,1,0
1064,2.25,2,2,2.25,2.2,2.8,2.6,2.8,2,2,3,2,3,1,2,2,3,.,.,.,2,3,2,2,3,4,2,2,2,2,1,3,4,2,3,2,3,2,2,3,2,3,3,3,1,0
1065,4,4,4,4,3.6,3.4,3.8,3.8,4,4,4,4,4,3,4,3,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,1,0
1066,3.5,1.75,3.25,4,3,2.8,2.8,3.8,4,2,4,4,4,4,4,1,2,2,1,3,1,4,3,1,2,4,3,3,3,4,4,1,2,4,3,4,4,4,4,4,4,4,3,4,1,0
1067,2,.,.,.,2.2,.,.,.,3,2,2,1,3,1,3,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1068,1,1,1,1,1.6,2.4,1,1.4,1,1,1,1,1,2,1,3,1,1,1,1,1,3,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,0,1
1069,4,3.5,4,3.75,2.8,3.4,3.6,3.8,4,4,4,4,4,1,1,4,4,4,3,3,4,4,1,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,3,4,4,4,0,1
1070,2.25,3.25,3.25,.,2.8,2.8,3.8,.,4,2,2,1,3,3,3,2,3,3,3,3,4,3,2,3,2,4,3,3,3,4,4,4,4,3,4,.,.,.,.,.,.,.,.,.,0,1
1071,2,2,2,2,2,2.2,2.2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,3,2,3,1,2,2,2,2,2,3,2,3,1,2,2,2,2,2,3,2,2,1,2,0,1
1072,3.75,.,3.25,.,2.6,.,2.8,.,4,4,3,4,4,2,3,2,2,.,.,.,.,.,.,.,.,.,3,4,3,3,3,2,3,3,3,.,.,.,.,.,.,.,.,.,1,0
